"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"One Menerung, Bukit Bandaraya, Bangsar","One Menerung","11000","3.06","Jalan Menerung, Bukit Bandaraya, 59100, Kuala Lumpur","3.144056","101.666624","Kuala Lumpur","Bangsar","3+1","5","3,600","3","Fully furnished","2021-05-08T14:46:19.395Z","1423","Corner lot","Condominium"
"Bangsar Puteri, Bangsar","Bangsar Puteri","1800","1.64","Jalan Medang Serai, Bangsar, 59100, Kuala Lumpur","3.141989","101.661966","Kuala Lumpur","Bangsar","2","2","1,100","1","NULL","2021-05-08T13:55:43.680Z","102","NULL","Condominium"
"Nadi Bangsar, Bangsar","Nadi Bangsar","4800","4.37","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","2","2","1,098","1","Fully furnished","2021-05-08T13:15:36.925Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","3300","4.79","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","1+1","1","689","1","Fully furnished","2021-05-08T13:15:05.404Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1650","3.74","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:52:33.943Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1650","3.74","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:51:58.947Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1650","3.74","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:51:32.446Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1650","3.74","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:51:07.688Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","2400","3.48","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","2","1","689","1","Fully furnished","2021-05-08T09:46:58.658Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","2400","3.48","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","2","1","689","1","Fully furnished","2021-05-08T09:46:58.634Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1700","3.85","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:46:58.548Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1650","3.74","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:46:57.705Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","2400","3.48","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","2","1","689","1","Fully furnished","2021-05-08T09:46:57.649Z","2972","NULL","Serviced Residence"
"Nadi Bangsar, Bangsar","Nadi Bangsar","1700","3.85","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","Studio","1","441","1","Fully furnished","2021-05-08T09:46:57.645Z","2972","NULL","Serviced Residence"
"Sri Penaga, Bangsar","Sri Penaga","6800","3.58","Jalan Medang Serai, Bukit Bandaraya, Bangsar, 59100, Kuala Lumpur","3.142001","101.664312","Kuala Lumpur","Bangsar","3+1","3","1,900","2","NULL","2021-05-08T09:30:31.981Z","999","NULL","Condominium"
"Sri Bayu, Bukit Bandaraya, Bangsar","Sri Bayu","2700","1.8","Jalan Medang Tanduk, Bukit Bandaraya, 59100, Kuala Lumpur","3.136892","101.662384","Kuala Lumpur","Bangsar","2+1","2","1,500","1","Fully furnished","2021-05-08T09:23:38.800Z","948","Corner lot","Condominium"
"Bangsar Puteri, Bangsar","Bangsar Puteri","3800","2.51","Jalan Medang Serai, Bangsar, 59100, Kuala Lumpur","3.141989","101.661966","Kuala Lumpur","Bangsar","3","2","1,511","1","Fully furnished","2021-05-08T09:06:31.778Z","102","NULL","Condominium"
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar","Zehn Bukit Pantai","7500","2.56","Jalan Bukit Pantai, Taman Bukit Pantai, 59100, Kuala Lumpur","3.121244","101.667027","Kuala Lumpur","Bangsar","3+1","3","2,928","2","NULL","2021-05-08T07:30:29.956Z","1793","NULL","Condominium"
"Kapas Heights, Bangsar","Kapas Heights","8200","3.51","11, Jalan Kapas, Bangsar, 59100, Kuala Lumpur","3.137458","101.663994","Kuala Lumpur","Bangsar","2+1","2","2,336","2","Partly furnished","2021-05-08T06:08:21.247Z","6856","Corner lot","Condominium"
"Kapas Heights, Bangsar","Kapas Heights","17500","3.36","11, Jalan Kapas, Bangsar, 59100, Kuala Lumpur","3.137458","101.663994","Kuala Lumpur","Bangsar","4+1","5","5,216","2","Partly furnished","2021-05-08T06:07:58.360Z","6856","Corner lot","Condominium"
"Sri Wangsaria, Bangsar","Sri Wangsaria","3500","2.06","Jalan Ara, Bukit Bandaraya, Bangsar, 59100, Kuala Lumpur","3.135105","101.665152","Kuala Lumpur","Bangsar","3+1","2","1,700","1","Fully furnished","2021-05-08T05:40:17.053Z","1019","Corner lot","Condominium"
"Bangsar Indah, Bangsar","Bangsar Indah","2500","3.57","Lorong Maarof, Bangsar, 59100, Kuala Lumpur","3.139895","101.673767","Kuala Lumpur","Bangsar","2+1","1","700","1","Fully furnished","2021-05-08T03:31:26.122Z","100","NULL","Condominium"
"Bangsar Puteri, Bangsar","Bangsar Puteri","5900","3.93","Jalan Medang Serai, Bangsar, 59100, Kuala Lumpur","3.141989","101.661966","Kuala Lumpur","Bangsar","3","3","1,500","1","Fully furnished","2021-05-08T03:31:25.783Z","102","Corner lot","Condominium"
"Cascadium, Bangsar","Cascadium","3500","2.92","Jalan Penaga, Bukit Bandaraya,, Bangsar, 59100, Kuala Lumpur","3.140928","101.666761","Kuala Lumpur","Bangsar","2","2","1,200","1","Fully furnished","2021-05-08T02:20:43.737Z","162","Corner lot","Condominium"
"Nadi Bangsar, Bangsar","Nadi Bangsar","2800","4.06","Jalan Tandok Off Jalan Maarof, Bangsar, 59100, Kuala Lumpur","3.125795","101.675208","Kuala Lumpur","Bangsar","1+1","1","689","1","Fully furnished","2021-05-08T01:21:00.966Z","2972","Intermediate","Serviced Residence"
"Sri Penaga, Bangsar","Sri Penaga","6800","3.58","Jalan Medang Serai, Bukit Bandaraya, Bangsar, 59100, Kuala Lumpur","3.142001","101.664312","Kuala Lumpur","Bangsar","3+1","2","1,900","1","Fully furnished","2021-05-08T00:00:33.009Z","999","NULL","Condominium"
"Sri Penaga, Bangsar","Sri Penaga","4900","4.08","Jalan Medang Serai, Bukit Bandaraya, Bangsar, 59100, Kuala Lumpur","3.142001","101.664312","Kuala Lumpur","Bangsar","2","2","1,200","1","Partly furnished","2021-05-08T00:00:32.498Z","999","NULL","Condominium"
"Nusa Rhu, Bangsar","Nusa Rhu","6500","1.94","Jalan Ara, Bangsar Baru, Bangsar, 59100, Kuala Lumpur","3.134237","101.663406","Kuala Lumpur","Bangsar","4+1","4","3,358","2","Partly furnished","2021-05-07T15:28:56.014Z","1512","NULL","Condominium"
"Casa Vista, Bangsar","Casa Vista","2400","2.14","Jalan Kapas, Bangsar, 59100, Kuala Lumpur","3.138416","101.664813","Kuala Lumpur","Bangsar","2+1","2","1,120","1","NULL","2021-05-07T12:15:54.364Z","1481","Corner lot","Condominium"
"Cascadium, Bangsar","Cascadium","3500","2.69","Jalan Penaga, Bukit Bandaraya,, Bangsar, 59100, Kuala Lumpur","3.140928","101.666761","Kuala Lumpur","Bangsar","2","2","1,300","1","NULL","2021-05-07T10:04:07.652Z","162","NULL","Condominium"
"Cascadium, Bangsar","Cascadium","3000","2.56","Jalan Penaga, Bukit Bandaraya,, Bangsar, 59100, Kuala Lumpur","3.140928","101.666761","Kuala Lumpur","Bangsar","2","2","1,170","1","Fully furnished","2021-05-07T09:35:34.330Z","162","NULL","Condominium"
"Cascadium, Bangsar","Cascadium","5000","3.45","Jalan Penaga, Bukit Bandaraya,, Bangsar, 59100, Kuala Lumpur","3.140928","101.666761","Kuala Lumpur","Bangsar","3","3","1,450","1","Fully furnished","2021-05-07T09:34:48.155Z","162","NULL","Condominium"
