"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","South View","2000","2.43","Lorong Kerinchi Kiri, Bangsar South, 51200, Kuala Lumpur","3.114066","101.664775","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","823","1","Fully furnished","2021-05-08T13:36:09.800Z","2855","NULL","Serviced Residence"
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","South View","1700","2.62","Lorong Kerinchi Kiri, Bangsar South, 51200, Kuala Lumpur","3.114066","101.664775","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","1+1","1","648","1","Fully furnished","2021-05-08T13:34:12.496Z","2855","NULL","Serviced Residence"
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","NOVUM","2300","NULL","Jalan Kerinchi, Kampung Kerinchi, 59200, Kuala Lumpur","3.11011","101.66295","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","NULL","1","Fully Furnished","2021-05-08T11:46:00Z","3980","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","2200","1.83","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2+1","2","1,199","1","Fully furnished","2021-05-08T09:29:42.976Z","5338","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","4000","2.97","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","3+1","3","1,347","1","Fully furnished","2021-05-08T09:02:37.178Z","5338","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","4000","2.97","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","3+1","3","1,347","1","Fully furnished","2021-05-08T09:02:32.299Z","5338","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","3500","2.92","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","1,200","1","Fully furnished","2021-05-08T08:49:49.648Z","5338","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","3300","2.45","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","3+1","3","1,346","1","Fully furnished","2021-05-08T08:46:39.011Z","5338","NULL","Serviced Residence"
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","KL Gateway Premium Residences","4200","3","Jalan Kerinchi Kiri, Bangsar South, 59200, Kuala Lumpur","3.113938","101.663949","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","3","3","1,400","2","Fully furnished","2021-05-08T08:46:21.727Z","5338","NULL","Serviced Residence"
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","South View","1900","2.32","Lorong Kerinchi Kiri, Bangsar South, 51200, Kuala Lumpur","3.114066","101.664775","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","820","1","Fully furnished","2021-05-08T08:28:32.892Z","2855","Corner lot","Serviced Residence"
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","NOVUM","2700","3.06","Jalan Kerinchi, Kampung Kerinchi, 59200, Kuala Lumpur","3.113971","101.666418","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","882","1","Fully furnished","2021-05-08T08:27:15.527Z","3980","Intermediate","Serviced Residence"
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","NOVUM","2600","2.95","Jalan Kerinchi, Kampung Kerinchi, 59200, Kuala Lumpur","3.113971","101.666418","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","882","1","NULL","2021-05-08T08:27:07.453Z","3980","NULL","Serviced Residence"
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","NOVUM","2600","2.95","Jalan Kerinchi, Kampung Kerinchi, 59200, Kuala Lumpur","3.113971","101.666418","Kuala Lumpur","Kampung Kerinchi (Bangsar South)","2","2","882","1","Fully furnished","2021-05-08T08:26:49.419Z","3980","Intermediate","Serviced Residence"
