"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1650","1.83","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","904","1","Fully furnished","2021-05-14T10:34:18.357Z","5845","Corner lot","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","2000","2.16","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","926","1","Fully furnished","2021-05-14T08:42:54.652Z","5845","NULL","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","2300","2.07","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3+1","2","1,109","2","Fully furnished","2021-05-14T08:21:54.136Z","5831","NULL","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","1700","NULL","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","NULL","NULL","NULL","2021-05-13T14:59:30.930Z","5831","NULL","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","2400","2.14","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","1,119","2","NULL","2021-05-11T14:51:03.564Z","5831","NULL","Serviced Residence"
"Clarita Tower @ Eco Sky, Batu Caves","Clarita Tower @ Eco Sky","2500","1.76","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3+1","3","1,421","2","Partly furnished","2021-05-11T10:55:55.220Z","5846","Corner lot","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","1450","1.6","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","904","1","Partly furnished","2021-05-11T08:28:34.805Z","5831","NULL","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","2000","1.82","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","1,097","2","Fully furnished","2021-05-11T08:04:10.429Z","5831","Intermediate","Serviced Residence"
"LakePark Residence @ KL North, Pusat Bandar Utara, Batu Caves","LakePark Residence @ KL North","1400","1.44","Jalan 2/3a, Pusat Bandar Utara, 68100, Kuala Lumpur","3.239491","101.66388","Kuala Lumpur","Batu Caves","3","2","975","2","Partly furnished","2021-05-11T06:34:17.676Z","4002","NULL","Serviced Residence"
"LakePark Residence @ KL North, Pusat Bandar Utara, Batu Caves","LakePark Residence @ KL North","1500","1.33","Jalan 2/3a, Pusat Bandar Utara, 68100, Kuala Lumpur","3.239491","101.66388","Kuala Lumpur","Batu Caves","3","2","1,125","2","Partly furnished","2021-05-11T06:34:05.335Z","4002","NULL","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1400","1.55","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","905","1","NULL","2021-05-11T05:10:11.515Z","5845","Corner lot","Serviced Residence"
"LakePark Residence @ KL North, Pusat Bandar Utara, Batu Caves","LakePark Residence @ KL North","1800","1.42","Jalan 2/3a, Pusat Bandar Utara, 68100, Kuala Lumpur","3.239491","101.66388","Kuala Lumpur","Batu Caves","3+1","3","1,265","2","Partly furnished","2021-05-10T15:37:30.798Z","4002","NULL","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1900","1.74","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","1,089","2","Partly furnished","2021-05-10T07:51:27.595Z","5845","Intermediate","Serviced Residence"
"Aurora Tower @ Eco Sky, Batu Caves","Aurora Tower @ Eco Sky","1700","1.56","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","1,089","1","Partly furnished","2021-05-10T07:48:31.965Z","5831","Intermediate","Serviced Residence"
"Clarita Tower @ Eco Sky, Batu Caves","Clarita Tower @ Eco Sky","2000","1.67","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","1,200","1","Fully furnished","2021-05-10T07:46:00.470Z","5846","Intermediate","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1550","1.61","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","960","1","Partly furnished","2021-05-14T10:26:33.235Z","5845","Intermediate","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1900","1.73","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","3","2","1,100","2","NULL","2021-05-14T10:15:04.498Z","5845","NULL","Serviced Residence"
"Basalta Tower @ Eco Sky, Batu Caves","Basalta Tower @ Eco Sky","1400","1.55","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","904","NULL","NULL","2021-05-14T10:14:44.232Z","5845","NULL","Serviced Residence"
"Amara, Batu Caves","Amara","1299","1.28","Jalan Raintree Utama Off Jalan Station, Batu Caves, 68100, Selangor","3.241782","101.679813","Selangor","Batu Caves","3","2","1,012","2","Partly furnished","2021-05-12T08:19:11.844Z","2427","Corner lot","Serviced Residence"
"Clarita Tower @ Eco Sky, Batu Caves","Clarita Tower @ Eco Sky","1300","2.54","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","Studio","1","512","1","Fully furnished","2021-05-11T14:38:27.556Z","5846","Corner lot","Serviced Residence"
"Clarita Tower @ Eco Sky, Batu Caves","Clarita Tower @ Eco Sky","1650","1.76","Jalan Kuching, Batu Caves, 51200, Kuala Lumpur","3.218723","101.671291","Kuala Lumpur","Batu Caves","2","2","936","2","Partly furnished","2021-05-11T06:13:35.913Z","5846","Intermediate","Serviced Residence"
