"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Dua Sentral, Brickfields","Dua Sentral","1700","2.39","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","1","1","710","1","Fully furnished","2021-05-08T09:23:23.758Z","2684","Intermediate","Serviced Residence"
"Sri Impian Condominium, Brickfields","Sri Impian Condominium","2500","1.61","No. 38, Jalan Ang Seng, Brickfields, 50470, Kuala Lumpur","3.128953","101.681302","Kuala Lumpur","Brickfields","3","2","1,550","1","Fully furnished","2021-05-08T05:48:44.263Z","1738","Intermediate","Condominium"
"Villa Scott, Brickfields","Villa Scott","2100","1.5","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","3+1","3","1,400","1","Partly furnished","2021-05-08T05:42:04.136Z","1540","Corner lot","Condominium"
"Mutiara Residency, Brickfields","Mutiara Residency","3000","2.14","Jalan Ang Seng, Off Jalan Thamby Abdullah, Brickfields, 50470, Kuala Lumpur","3.129039","101.682316","Kuala Lumpur","Brickfields","3+1","3","1,400","1","Fully furnished","2021-05-08T05:41:55.338Z","2717","Corner lot","Condominium"
"633 Residency, Brickfields","633 Residency","2500","2.94","Jalan Tebing off Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","3.133491","101.692925","Kuala Lumpur","Brickfields","2","1","850","1","Fully furnished","2021-05-08T05:41:43.922Z","1736","Intermediate","Condominium"
"Mutiara Residency, Brickfields","Mutiara Residency","2900","2.07","Jalan Ang Seng, Off Jalan Thamby Abdullah, Brickfields, 50470, Kuala Lumpur","3.129039","101.682316","Kuala Lumpur","Brickfields","3+1","3","1,400","1","Fully furnished","2021-05-08T05:41:20.244Z","2717","Intermediate","Condominium"
"633 Residency, Brickfields","633 Residency","2900","2.42","Jalan Tebing off Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","3.133491","101.692925","Kuala Lumpur","Brickfields","2","2","1,200","1","Fully furnished","2021-05-08T05:41:11.256Z","1736","Intermediate","Condominium"
"Mutiara Residency, Brickfields","Mutiara Residency","2500","2.31","Jalan Ang Seng, Off Jalan Thamby Abdullah, Brickfields, 50470, Kuala Lumpur","3.129039","101.682316","Kuala Lumpur","Brickfields","3+1","2","1,080","1","Fully furnished","2021-05-08T05:40:45.484Z","2717","NULL","Condominium"
"633 Residency, Brickfields","633 Residency","2100","2.55","Jalan Tebing off Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","3.133491","101.692925","Kuala Lumpur","Brickfields","1","1","822","1","Fully furnished","2021-05-08T05:40:26.334Z","1736","NULL","Condominium"
"Villa Scott, Brickfields","Villa Scott","2400","2","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","3","2","1,200","1","Fully furnished","2021-05-08T05:39:45.314Z","1540","Corner lot","Condominium"
"633 Residency, Brickfields","633 Residency","2200","2.68","Jalan Tebing off Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","3.133491","101.692925","Kuala Lumpur","Brickfields","1","1","822","NULL","Fully furnished","2021-05-08T05:39:36.673Z","1736","Corner lot","Condominium"
"633 Residency, Brickfields","633 Residency","2300","2.8","Jalan Tebing off Jalan Tun Sambanthan, Brickfields, 50470, Kuala Lumpur","3.133491","101.692925","Kuala Lumpur","Brickfields","1","1","822","1","Fully furnished","2021-05-08T05:38:09.557Z","1736","Corner lot","Condominium"
"Establishment Bangsar (Menara Teguh Bangsar), Brickfields","Establishment Bangsar (Menara Teguh Bangsar)","2300","4.91","58, Jalan Ang Seng, Brickfields, 50470, Kuala Lumpur","3.127728","101.680176","Kuala Lumpur","Brickfields","Studio","1","468","NULL","Fully furnished","2021-05-08T03:32:20.045Z","4143","Studio","Serviced Residence"
"Villa Scott, Brickfields","Villa Scott","2400","NULL","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.132142","101.691176","Kuala Lumpur","Brickfields","3+1","3","1,500","1","Partly Furnished","2021-05-08T01:44:00Z","1540","NULL","Condominium"
"Villa Scott, Brickfields","Villa Scott","2200","NULL","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","2+1","2","1,200","1","Fully Furnished","2021-05-08T01:39:00Z","1540","Intermediate","Condominium"
"Dua Sentral, Brickfields","Dua Sentral","2400","2.63","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","912","1","NULL","2021-05-07T14:47:45.893Z","2684","NULL","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","2300","2.52","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","912","1","Fully furnished","2021-05-07T11:09:24.694Z","2684","Intermediate","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","1500","NULL","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","NULL","NULL","Fully furnished","2021-05-07T08:49:44.760Z","2684","NULL","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","1200","3.09","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","Studio","1","388","NULL","Fully furnished","2021-05-07T08:48:40.650Z","2684","Intermediate","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","1999","2.29","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","872","NULL","Fully furnished","2021-05-07T07:55:06.885Z","2684","NULL","Serviced Residence"
