"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"The Robertson, Bukit Bintang","The Robertson","1400","2.17","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1+1","1","646","1","NULL","2021-05-07T16:03:43.278Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","1900","2.92","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1+1","1","650","1","NULL","2021-05-07T16:03:30.237Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","2300","4.28","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1","1","538","1","NULL","2021-05-07T16:03:27.102Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","3300","4.09","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","2","2","807","2","NULL","2021-05-07T16:03:23.150Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","2300","3.34","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1+1","1","689","1","NULL","2021-05-07T16:03:18.599Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","3200","3.96","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","2","2","809","1","NULL","2021-05-07T16:03:13.928Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","2300","4.28","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1","1","538","1","NULL","2021-05-07T16:03:08.504Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","2300","3.34","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1+1","1","689","1","NULL","2021-05-07T16:03:04.352Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","2900","4.26","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","1+1","1","680","1","NULL","2021-05-07T16:02:58.861Z","4022","NULL","Condominium"
"The Robertson, Bukit Bintang","The Robertson","3600","4.45","Jalan Robertson, Bukit Bintang, 50150, Kuala Lumpur","3.144882","101.702164","Kuala Lumpur","Bukit Bintang","2","2","809","2","NULL","2021-05-07T16:02:49.134Z","4022","NULL","Condominium"
"Laman Ceylon, Bukit Bintang","Laman Ceylon","2500","3.06","Jalan Ceylon, Bukit Bintang, 55100, Kuala Lumpur","3.148042","101.706084","Kuala Lumpur","Bukit Bintang","1","1","818","1","Fully furnished","2021-05-07T16:01:29.756Z","2702","Intermediate","Serviced Residence"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","5500","2.28","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","4+1","5","2,416","2","Partly furnished","2021-05-07T15:07:14.373Z","1387","Corner lot","Condominium"
"Pavilion Residences, Bukit Bintang","Pavilion Residences","8900","5.9","Jalan Bukit Bintang, Bukit Bintang, 50200, Kuala Lumpur","3.149568","101.713877","Kuala Lumpur","Bukit Bintang","2","2","1,509","1","Fully furnished","2021-05-07T13:31:02.006Z","1414","Corner lot","Serviced Residence"
"Berjaya Times Square, Bukit Bintang","Berjaya Times Square","3500","3.27","Jalan Imbi, Bukit Bintang, 55100, Kuala Lumpur","3.141737","101.710589","Kuala Lumpur","Bukit Bintang","2","2","1,070","NULL","Fully furnished","2021-05-07T13:28:56.920Z","1996","Corner lot","Serviced Residence"
"Casa Residency, Bukit Bintang","Casa Residency","2500","2.31","Jalan Galloway, Bukit Bintang, 50150, Kuala Lumpur","3.141753","101.704559","Kuala Lumpur","Bukit Bintang","3","3","1,080","1","Fully furnished","2021-05-07T13:15:13.941Z","2410","NULL","Serviced Residence"
"The Manhattan, Bukit Bintang","The Manhattan","3000","5.06","Jalan Raja Chulan, Bukit Ceylon, Bukit Bintang, 50200, Kuala Lumpur","3.150468","101.707599","Kuala Lumpur","Bukit Bintang","1","1","593","1","Fully furnished","2021-05-07T12:30:35.975Z","3168","Intermediate","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","9000","3.7","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147848","101.706429","Kuala Lumpur","Bukit Bintang","4","3","2,433","2","Fully furnished","2021-05-07T12:01:05.736Z","1387","NULL","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","5300","3.55","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.148465","101.704739","Kuala Lumpur","Bukit Bintang","2+1","3","1,495","2","Fully furnished","2021-05-07T12:00:32.375Z","1387","Corner lot","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","5000","3.34","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.148465","101.704739","Kuala Lumpur","Bukit Bintang","2+1","3","1,495","2","Fully furnished","2021-05-07T12:00:32.271Z","1387","Corner lot","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","4000","2.67","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","2+2","3","1,500","1","Fully furnished","2021-05-07T12:00:31.738Z","1387","End lot","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","4500","3.15","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","2+1","2","1,428","2","Fully furnished","2021-05-07T12:00:31.374Z","1387","NULL","Condominium"
"The Manhattan, Bukit Bintang","The Manhattan","5600","5.43","Jalan Raja Chulan, Bukit Ceylon, Bukit Bintang, 50200, Kuala Lumpur","3.150468","101.707599","Kuala Lumpur","Bukit Bintang","2","2","1,031","1","Fully furnished","2021-05-07T10:30:30.701Z","3168","Duplex","Condominium"
"Dorsett Residences Bukit Bintang, Bukit Bintang","Dorsett Residences Bukit Bintang","5000","4.94","Jalan Bukit Bintang, Bukit Bintang, 55100, Kuala Lumpur","3.147482","101.715739","Kuala Lumpur","Bukit Bintang","2","2","1,013","1","Fully furnished","2021-05-07T10:02:35.450Z","4019","NULL","Serviced Residence"
"Pavilion Suites, Bukit Bintang","Pavilion Suites","8500","6.78","Jalan Bukit Bintang, Bukit Bintang, 55100, Bukit Bintang, 55100, Kuala Lumpur","3.148318","101.712501","Kuala Lumpur","Bukit Bintang","2","2","1,254","1","Fully furnished","2021-05-07T10:00:06.142Z","4195","NULL","Condominium"
"Mutiara Villa, Bukit Bintang","Mutiara Villa","1700","2.18","Jalan Tingkat Tong Shin, Bukit Bintang, 50200, Kuala Lumpur","3.14607","101.70732","Kuala Lumpur","Bukit Bintang","1","1","780","1","Fully furnished","2021-05-07T09:59:27.611Z","585","NULL","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","7500","3.71","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","3+1","4","2,022","2","Partly furnished","2021-05-07T09:56:15.602Z","1387","Corner lot","Condominium"
"Pavilion Residences, Bukit Bintang","Pavilion Residences","12000","5.96","Jalan Bukit Bintang, Bukit Bintang, 50200, Kuala Lumpur","3.149568","101.713877","Kuala Lumpur","Bukit Bintang","3+1","5","2,013","2","Fully furnished","2021-05-07T09:44:33.996Z","1414","NULL","Serviced Residence"
"Casa Residency, Bukit Bintang","Casa Residency","3000","2.82","Jalan Galloway, Bukit Bintang, 50150, Kuala Lumpur","3.141753","101.704559","Kuala Lumpur","Bukit Bintang","3","3","1,063","1","Fully furnished","2021-05-07T09:30:09.274Z","2410","NULL","Serviced Residence"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","7500","3.1","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","4+1","5","2,416","2","Fully furnished","2021-05-07T09:15:15.452Z","1387","Corner lot","Condominium"
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Verticas Residensi","5500","2.28","Bukit Ceylon, Kuala Lumpur, Bukit Ceylon, 50200, Kuala Lumpur","3.147843","101.704192","Kuala Lumpur","Bukit Bintang","4+1","5","2,417","2","Fully furnished","2021-05-07T09:15:00.515Z","1387","Intermediate","Condominium"
