"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Skyluxe On The Park Bukit Jalil","2100","1.98","Jln Jalil Perkasa 1, Off Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.053626","101.674188","Kuala Lumpur","Bukit Jalil","3","2","1,060","2","Partly furnished","2021-05-14T09:52:30.484Z","4317","Corner lot","Serviced Residence"
"The Rainz, Bukit Jalil","The Rainz","3500","2.31","Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur","3.063781","101.66789","Kuala Lumpur","Bukit Jalil","4","3","1,513","2","Fully furnished","2021-05-14T09:44:20.486Z","3329","NULL","Condominium"
"Vista Komanwel A, Bukit Jalil","Vista Komanwel A","1800","1.24","Off Jalan Barat, Bandar Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.060369","101.684235","Kuala Lumpur","Bukit Jalil","3","2","1,450","2","Fully furnished","2021-05-14T09:30:30.244Z","1205","NULL","Condominium"
"Casa Green, Bukit Jalil","Casa Green","1850","1.84","Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur","3.064606","101.664","Kuala Lumpur","Bukit Jalil","3","3","1,003","2","Partly furnished","2021-05-14T09:22:38.996Z","3881","Intermediate","Condominium"
"Casa Green, Bukit Jalil","Casa Green","2200","2.19","Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur","3.064606","101.664","Kuala Lumpur","Bukit Jalil","3","3","1,003","2","Partly furnished","2021-05-14T09:21:49.642Z","3881","Intermediate","Condominium"
"Kiara Residence 2 (Residensi Kiara Jalil 2), Bukit Jalil","Kiara Residence 2 (Residensi Kiara Jalil 2)","1700","1.35","Jalan Jalil Perwira 1, Bukit Jalil, 58200, Kuala Lumpur","3.063553","101.670417","Kuala Lumpur","Bukit Jalil","3+1","3","1,260","2","NULL","2021-05-14T09:07:35.765Z","2700","NULL","Condominium"
"Savanna 2, Bukit Jalil","Savanna 2","4000","2.49","Jalan Jalil Perkasa 7, Bukit Jalil, 57000, Kuala Lumpur","3.0581","101.685398","Kuala Lumpur","Bukit Jalil","4+1","3","1,605","2","Fully furnished","2021-05-14T08:48:38.092Z","2412","Corner lot","Condominium"
"Green Avenue Condominium, Bukit Jalil","Green Avenue Condominium","1200","1.11","Jalan 1/155B, Bukit Jalil, 57000, Kuala Lumpur","3.061132","101.674497","Kuala Lumpur","Bukit Jalil","4","2","1,080","1","Unfurnished","2021-05-14T08:41:34.713Z","312","NULL","Condominium"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","2500","2.39","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","3","2","1,044","2","Fully furnished","2021-05-14T08:27:46.871Z","5937","NULL","Serviced Residence"
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Skyluxe On The Park Bukit Jalil","2600","2.25","Jln Jalil Perkasa 1, Off Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.053626","101.674188","Kuala Lumpur","Bukit Jalil","3+1","2","1,158","2","Fully furnished","2021-05-14T08:15:58.409Z","4317","NULL","Serviced Residence"
"The Link 2 Residences, Bukit Jalil","The Link 2 Residences","2400","1.97","Jalan Jalil Perkasa 3, Bukit Jalil, 57000, Kuala Lumpur","3.051912","101.678303","Kuala Lumpur","Bukit Jalil","3","2","1,218","2","Fully furnished","2021-05-14T07:32:19.571Z","3247","NULL","Serviced Residence"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","1800","1.89","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","2","2","953","1","Partly furnished","2021-05-14T07:05:38.233Z","5937","NULL","Serviced Residence"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","2200","2.11","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","3","2","1,044","2","Partly furnished","2021-05-14T07:05:17.174Z","5937","Intermediate","Serviced Residence"
"The Havre Bukit Jalil, Bukit Jalil","The Havre Bukit Jalil","1999","1.61","217, Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.057009","101.665986","Kuala Lumpur","Bukit Jalil","3+1","3","1,239","2","Fully furnished","2021-05-14T07:04:04.829Z","4393","NULL","Condominium"
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Skyluxe On The Park Bukit Jalil","1800","2.48","Jln Jalil Perkasa 1, Off Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.053626","101.674188","Kuala Lumpur","Bukit Jalil","1+1","1","727","1","Partly furnished","2021-05-14T06:27:23.361Z","4317","Corner lot","Serviced Residence"
"Parkhill Residence, Bukit Jalil","Parkhill Residence","2800","2.55","Technology Park Malaysia, 57000 Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.055048","101.696148","Kuala Lumpur","Bukit Jalil","3","2","1,100","2","Fully furnished","2021-05-14T06:02:14.029Z","4148","NULL","Condominium"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","2800","2.64","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","3","2","1,061","2","NULL","2021-05-14T06:00:45.982Z","5937","NULL","Serviced Residence"
"Vista Komanwel A, Bukit Jalil","Vista Komanwel A","1000","0.83","Off Jalan Barat, Bandar Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.060369","101.684235","Kuala Lumpur","Bukit Jalil","3","2","1,200","1","Unfurnished","2021-05-14T05:58:19.801Z","1205","Intermediate","Condominium"
"The Rainz, Bukit Jalil","The Rainz","3500","2.31","Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur","3.063781","101.66789","Kuala Lumpur","Bukit Jalil","4","3","1,513","2","Fully furnished","2021-05-14T05:57:31.164Z","3329","NULL","Condominium"
"The Z Residence, Bukit Jalil","The Z Residence","1750","1.7","Jalan Jalil Perwira 2, Bukit Jalil, 58200, Kuala Lumpur","3.06449","101.665919","Kuala Lumpur","Bukit Jalil","2","2","1,032","2","NULL","2021-05-14T05:31:32.826Z","2795","NULL","Condominium"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","1800","1.89","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","2","2","953","2","Partly furnished","2021-05-14T05:23:54.585Z","5937","NULL","Serviced Residence"
"The Park Sky Residence, Bukit Jalil","The Park Sky Residence","2800","2.54","Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur","3.052922","101.672119","Kuala Lumpur","Bukit Jalil","3","2","1,103","2","Fully furnished","2021-05-14T05:03:36.401Z","5937","NULL","Serviced Residence"
