"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Shamelin Star, Taman Shamelin Perkasa, Cheras","Shamelin Star","1500","1.94","Jalan 4/91, Taman Shamelin Perkasa, 55300, Kuala Lumpur","3.126027","101.736584","Kuala Lumpur","Cheras","2+1","2","774","1","Partly furnished","2021-05-14T02:30:58.442Z","4251","Intermediate","Serviced Residence"
"Riana South, Bukit Mandarina, Cheras","Riana South","600","0.48","Persiaran Alam Damai, Bukit Mandarina, 56000, Kuala Lumpur","3.076891","101.733015","Kuala Lumpur","Cheras","1","1","1,247","NULL","Fully furnished","2021-05-14T01:16:29.947Z","5531","Intermediate","Condominium"
"Angkasa Condominiums, Taman Connaught, Cheras","Angkasa Condominiums","1500","1.61","Jalan Puncak Gading, Taman Connaught, 56000, Kuala Lumpur","3.079634","101.730553","Kuala Lumpur","Cheras","3","2","930","1","Fully furnished","2021-05-13T21:00:33.450Z","33","NULL","Condominium"
"Bukit Pandan Kondominium 1, Cheras","Bukit Pandan Kondominium 1","1150","1.05","Jalan 6/19, Taman Bukit Ria, Cheras, Cheras, 56100, Kuala Lumpur","3.114527","101.737648","Kuala Lumpur","Cheras","3","2","1,100","1","Partly furnished","2021-05-13T15:52:24.167Z","141","NULL","Condominium"
"EkoCheras, Cheras","EkoCheras","1800","2.19","Jalan Cheras, Cheras, 56000, Kuala Lumpur","3.093237","101.739052","Kuala Lumpur","Cheras","2","2","821","1","Partly furnished","2021-05-13T15:39:05.634Z","5583","NULL","Serviced Residence"
"Shamelin Star, Taman Shamelin Perkasa, Cheras","Shamelin Star","2350","2.57","Jalan 4/91, Taman Shamelin Perkasa, 55300, Kuala Lumpur","3.126027","101.736584","Kuala Lumpur","Cheras","3","2","914","NULL","Fully furnished","2021-05-13T15:29:43.503Z","4251","NULL","Serviced Residence"
"Riana South, Bukit Mandarina, Cheras","Riana South","2500","2.64","Persiaran Alam Damai, Bukit Mandarina, 56000, Kuala Lumpur","3.076891","101.733015","Kuala Lumpur","Cheras","3","2","947","2","Fully furnished","2021-05-13T15:17:31.099Z","5531","NULL","Condominium"
"Riana South, Bukit Mandarina, Cheras","Riana South","2100","2.23","Persiaran Alam Damai, Bukit Mandarina, 56000, Kuala Lumpur","3.076891","101.733015","Kuala Lumpur","Cheras","3","2","940","1","Partly furnished","2021-05-13T15:14:55.199Z","5531","NULL","Condominium"
"Riana South, Bukit Mandarina, Cheras","Riana South","2000","2.13","Persiaran Alam Damai, Bukit Mandarina, 56000, Kuala Lumpur","3.076891","101.733015","Kuala Lumpur","Cheras","3","2","940","1","Partly furnished","2021-05-13T14:47:13.357Z","5531","NULL","Condominium"
"The Hamstead Cheras, Cheras","The Hamstead Cheras","1600","1.68","Jln Lingkaran Tengah 2,, Cheras, 57000, Kuala Lumpur","3.07404","101.710071","Kuala Lumpur","Cheras","3","2","950","2","Partly furnished","2021-05-13T13:50:52.204Z","4385","Intermediate","Condominium"
