"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","15000","5.03","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","4","4","2,982","2","NULL","2021-05-08T12:13:55.107Z","3259","NULL","Serviced Residence"
"10 Semantan (Semantan Avenue), Damansara Heights","10 Semantan (Semantan Avenue)","1666","1.51","Jalan Semantan, Damansara Heights, 50490, Kuala Lumpur","3.150844","101.670454","Kuala Lumpur","Damansara Heights","2","2","1,100","1","Fully furnished","2021-05-08T07:40:15.395Z","1625","Intermediate","Serviced Residence"
"10 Semantan (Semantan Avenue), Damansara Heights","10 Semantan (Semantan Avenue)","1600","1.6","Jalan Semantan, Damansara Heights, 50490, Kuala Lumpur","3.150844","101.670454","Kuala Lumpur","Damansara Heights","2","2","998","1","Fully furnished","2021-05-08T06:34:27.884Z","1625","Intermediate","Serviced Residence"
"10 Semantan (Semantan Avenue), Damansara Heights","10 Semantan (Semantan Avenue)","1200","2.31","Jalan Semantan, Damansara Heights, 50490, Kuala Lumpur","3.150844","101.670454","Kuala Lumpur","Damansara Heights","Studio","1","520","1","Fully furnished","2021-05-08T06:34:19.624Z","1625","NULL","Serviced Residence"
"Twins @ Damansara Heights, Bukit Damansara, Damansara Heights","Twins @ Damansara Heights","2400","2.9","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.145155","101.66196","Kuala Lumpur","Damansara Heights","1+1","1","828","1","Fully furnished","2021-05-08T06:34:11.079Z","1390","NULL","Serviced Residence"
"Twins @ Damansara Heights, Bukit Damansara, Damansara Heights","Twins @ Damansara Heights","3300","2.43","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.145155","101.66196","Kuala Lumpur","Damansara Heights","3+1","2","1,356","1","Fully furnished","2021-05-08T06:34:02.009Z","1390","Corner lot","Serviced Residence"
"Damansara Villa, Damansara Heights","Damansara Villa","3500","1.75","Jalan Bukit Ledang, Taman Duta, Damansara Heights, 59100, Kuala Lumpur","3.149799","101.669639","Kuala Lumpur","Damansara Heights","3+2","2","2,000","1","Partly furnished","2021-05-08T05:42:12.730Z","196","Corner lot","Condominium"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","5000","4.3","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","2","2","1,163","2","Fully furnished","2021-05-08T02:12:42.567Z","3259","Intermediate","Serviced Residence"
"Twins @ Damansara Heights, Bukit Damansara, Damansara Heights","Twins @ Damansara Heights","10500","3.5","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.145155","101.66196","Kuala Lumpur","Damansara Heights","4","4","3,000","2","Fully furnished","2021-05-07T21:19:12.645Z","1390","Penthouse","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","5000","4.3","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1+1","2","1,163","2","Fully furnished","2021-05-07T09:41:22.245Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","3800","4.2","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1","1","904","1","Fully furnished","2021-05-07T09:41:18.924Z","3259","NULL","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","15000","5.55","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","3+1","4","2,702","3","Fully furnished","2021-05-07T04:17:40.367Z","3259","Corner lot","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","4000","3.44","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1+1","1","1,163","2","Partly furnished","2021-05-07T04:17:40.064Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","8000","4.29","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","2+2","3","1,863","2","Fully furnished","2021-05-07T04:17:40.058Z","3259","NULL","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","7800","4.21","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","2+2","3","1,851","2","Fully furnished","2021-05-07T04:17:40.054Z","3259","Corner lot","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","4000","3.44","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1+1","2","1,163","2","Fully furnished","2021-05-07T04:17:40.036Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","3200","3.54","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1","1","904","1","NULL","2021-05-07T04:17:39.993Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","4000","3.44","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1","2","1,163","2","Partly furnished","2021-05-07T04:17:39.991Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","4600","3.96","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1+1","1","1,163","1","Fully furnished","2021-05-07T01:01:00.953Z","3259","Intermediate","Serviced Residence"
"Damansara City Residency (DC Residensi), Bukit Damansara, Damansara Heights","Damansara City Residency (DC Residensi)","5500","4.77","Jalan Damanlela, Bukit Damansara, 50490, Kuala Lumpur","3.147448","101.66087","Kuala Lumpur","Damansara Heights","1+1","1","1,152","1","Fully furnished","2021-05-07T01:01:00.766Z","3259","Intermediate","Serviced Residence"
