"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1800","1.64","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","3","2","1,100","2","NULL","2021-05-14T10:15:16.825Z","4083","Intermediate","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1800","1.99","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","904","1","Fully furnished","2021-05-14T07:51:17.150Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1600","1.81","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","883","1","Partly furnished","2021-05-14T07:32:51.324Z","5871","Corner lot","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1500","1.94","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","Fully furnished","2021-05-13T07:51:08.682Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1500","1.94","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","Fully furnished","2021-05-13T05:41:36.880Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","680","2.03","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","1","1","335","1","Partly furnished","2021-05-13T03:21:07.829Z","5871","Intermediate","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1300","1.18","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","3","2","1,100","2","Partly furnished","2021-05-12T09:30:31.368Z","4083","NULL","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1250","1.67","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","1","750","1","Partly furnished","2021-05-12T08:16:09.485Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","850","2.83","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","Studio","1","300","1","Partly furnished","2021-05-12T07:35:19.866Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1600","1.6","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","3","2","1,001","2","Partly furnished","2021-05-12T03:44:43.703Z","5871","Intermediate","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1200","4","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","Studio","1","300","1","Fully furnished","2021-05-11T07:41:50.997Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1300","1.72","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","755","2","Partly furnished","2021-05-11T07:41:21.934Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1800","1.69","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","3","2","1,066","1","Partly furnished","2021-05-11T06:35:55.508Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1300","1.3","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","3","2","1,001","2","Partly furnished","2021-05-10T11:03:20.189Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1500","1.94","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","Fully furnished","2021-05-10T10:53:15.301Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","800","2.67","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","Studio","1","300","1","Partly furnished","2021-05-10T10:48:26.994Z","5871","NULL","Serviced Residence"
"Legend Heights, Kepong","Legend Heights","1800","1.71","Taman Sri Segambut, Kepong, 52000, Kuala Lumpur","3.198015","101.656601","Kuala Lumpur","Kepong","3+1","2","1,050","2","Partly furnished","2021-05-10T10:15:11.358Z","4560","NULL","Condominium"
"Fortune Centra, Kepong","Fortune Centra","800","2.67","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","Studio","1","300","1","Partly furnished","2021-05-10T09:37:38.356Z","5871","Studio","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1200","1.09","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","3","2","1,100","2","Partly furnished","2021-05-10T04:39:52.956Z","4083","Intermediate","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1150","1.48","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","1","775","NULL","Partly furnished","2021-05-10T02:17:54.733Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1600","1.6","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","3","2","1,001","2","Partly furnished","2021-05-08T05:51:41.771Z","5871","Intermediate","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1150","1.48","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","1","775","1","Partly furnished","2021-05-08T03:30:11.551Z","5871","Intermediate","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1700","1.48","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","4","3","1,152","2","Partly furnished","2021-05-07T17:50:30.765Z","5871","Intermediate","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1300","1.68","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","NULL","2021-05-07T14:16:43.821Z","5871","NULL","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1700","1.31","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","4","2","1,300","2","Partly furnished","2021-05-07T11:41:01.956Z","4083","NULL","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1200","1.55","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","Partly furnished","2021-05-07T06:44:15.075Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1300","1.68","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","2","775","1","NULL","2021-05-07T01:31:09.589Z","5871","Intermediate","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","700","2.33","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","Studio","1","300","NULL","Partly furnished","2021-05-14T07:13:23.823Z","5871","NULL","Serviced Residence"
"First Residence (Residensi Unggul), Kepong Baru, Kepong","First Residence (Residensi Unggul)","1800","1.94","Jalan Vista Mutiara 1, Kepong Baru, 52100, Kuala Lumpur","3.206972","101.648123","Kuala Lumpur","Kepong","3","2","930","1","Fully furnished","2021-05-13T17:19:49.560Z","2161","Intermediate","Condominium"
"First Residence (Residensi Unggul), Kepong Baru, Kepong","First Residence (Residensi Unggul)","1500","1.35","Jalan Vista Mutiara 1, Kepong Baru, 52100, Kuala Lumpur","3.206972","101.648123","Kuala Lumpur","Kepong","3","2","1,109","1","Fully furnished","2021-05-13T17:06:43.554Z","2161","Corner lot","Condominium"
"Fortune Perdana, Taman Usahawan Kepong, Kepong","Fortune Perdana","1500","1.46","Jalan Metro Perdana 1, Taman Usahawan Kepong, 51200, Kuala Lumpur","3.217752","101.644121","Kuala Lumpur","Kepong","3","2","1,027","2","Partly furnished","2021-05-13T16:29:24.671Z","4978","NULL","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1700","1.31","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","4","2","1,300","2","Partly furnished","2021-05-13T08:33:16.491Z","4083","NULL","Condominium"
"Three33 Residence, Kepong","Three33 Residence","1600","1.88","Jalan Mutiara Vista 1, Kepong, 51200, Kuala Lumpur","3.206559","101.648571","Kuala Lumpur","Kepong","3","2","850","1","Fully furnished","2021-05-12T16:29:03.207Z","6044","NULL","Condominium"
"Fortune Perdana, Taman Usahawan Kepong, Kepong","Fortune Perdana","1500","1.29","Jalan Metro Perdana 1, Taman Usahawan Kepong, 51200, Kuala Lumpur","3.217752","101.644121","Kuala Lumpur","Kepong","3+1","2","1,162","2","Partly furnished","2021-05-12T14:49:28.651Z","4978","Intermediate","Serviced Residence"
"Fortune Perdana, Taman Usahawan Kepong, Kepong","Fortune Perdana","1500","1.46","Jalan Metro Perdana 1, Taman Usahawan Kepong, 51200, Kuala Lumpur","3.217752","101.644121","Kuala Lumpur","Kepong","3","2","1,027","2","Partly furnished","2021-05-12T09:56:13.828Z","4978","Intermediate","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1400","1.27","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","3","2","1,100","2","Partly furnished","2021-05-12T09:50:42.132Z","4083","Intermediate","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1400","2","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","2","1","700","1","Partly furnished","2021-05-12T09:05:32.843Z","5871","NULL","Serviced Residence"
"Fortune Centra, Kepong","Fortune Centra","1800","1.8","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","3","2","1,001","2","Partly furnished","2021-05-12T07:12:03.236Z","5871","Intermediate","Serviced Residence"
"The Henge, Taman Metropolitan Kepong, Kepong","The Henge","1660","1.28","Jalan Taman, Taman Metropolitan Kepong, 52100, Kuala Lumpur","3.221135","101.642169","Kuala Lumpur","Kepong","3+1","2","1,300","2","Partly furnished","2021-05-12T05:31:21.548Z","4083","Intermediate","Condominium"
"The Herz, Kepong","The Herz","1300","1.21","Jalan 3/33a,, Kepong, 52100, Kuala Lumpur","3.211816","101.644891","Kuala Lumpur","Kepong","3","2","1,073","2","NULL","2021-05-12T04:49:53.017Z","5361","NULL","Condominium"
"Fortune Centra, Kepong","Fortune Centra","1200","4","Jalan Metro Perdana 6, Kepong, 52100, Selangor","3.215676","101.64384","Selangor","Kepong","1","1","300","NULL","Fully furnished","2021-05-11T12:44:54.837Z","5871","NULL","Serviced Residence"
