"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","11000","3.78","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,907","2","Partly furnished","2021-05-08T14:11:01.731Z","1400","NULL","Condominium"
"Star Residences One, KLCC","Star Residences One","3500","4.85","Jalan Yap Kwan Seng, KLCC, 50450, Kuala Lumpur","3.161434","101.712587","Kuala Lumpur","KLCC","1+1","1","721","NULL","Fully furnished","2021-05-08T14:05:07.131Z","5543","NULL","Serviced Residence"
"Idaman Residence, KL City Centre, KLCC","Idaman Residence","2600","2.42","Jalan Law Yew Swee, KL City Centre, 50250, Kuala Lumpur","3.156616","101.708714","Kuala Lumpur","KLCC","2","2","1,075","1","Fully furnished","2021-05-08T14:00:31.727Z","1553","Intermediate","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","15000","4.05","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+2","4","3,700","2","Partly furnished","2021-05-08T13:40:52.358Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","8000","3.56","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,250","2","Fully furnished","2021-05-08T13:40:52.203Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","8000","3.56","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,250","2","Partly furnished","2021-05-08T13:40:52.198Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","8000","3.56","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,250","2","Fully furnished","2021-05-08T13:40:52.194Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","25000","7.35","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","3,400","2","Fully furnished","2021-05-08T13:40:52.183Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","15000","6.56","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,285","2","Fully furnished","2021-05-08T13:40:52.178Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","11000","4.89","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","5","2,250","2","Fully furnished","2021-05-08T13:40:52.164Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","10000","4.44","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","5","2,250","2","Fully furnished","2021-05-08T13:40:52.148Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","10000","4.44","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","5","2,250","2","Fully furnished","2021-05-08T13:40:52.144Z","1400","NULL","Condominium"
"The Binjai on the Park, KL City Centre, KLCC","The Binjai on the Park","11000","4.89","Persiaran KLCC, KL City Centre, 50450, Kuala Lumpur","3.154701","101.717617","Kuala Lumpur","KLCC","3+1","4","2,250","2","Fully furnished","2021-05-08T13:40:52.100Z","1400","NULL","Condominium"
"Vipod Residence, KLCC","Vipod Residence","8000","6.16","Jalan Kia Peng, KLCC, 50450, Kuala Lumpur","3.152107","101.712821","Kuala Lumpur","KLCC","2+1","2","1,299","1","Fully furnished","2021-05-08T13:33:17.947Z","2414","NULL","Serviced Residence"
"Aria, KLCC","Aria","3500","5.56","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","1","1","630","1","Fully furnished","2021-05-08T13:19:03.248Z","4625","NULL","Serviced Residence"
"The Mews, KLCC","The Mews","3000","3.24","Jalan Yap Kwan Seng, KLCC, 50450, Kuala Lumpur","3.162235","101.713274","Kuala Lumpur","KLCC","1","1","925","1","Fully furnished","2021-05-08T13:14:57.772Z","3484","NULL","Serviced Residence"
"Anggun Residences, KLCC","Anggun Residences","3600","3.69","Jalan Sultan Ismail, KLCC, 50300, Kuala Lumpur","3.157172","101.699072","Kuala Lumpur","KLCC","2","2","976","1","NULL","2021-05-08T13:14:55.726Z","2458","NULL","Condominium"
"The Ruma, KLCC","The Ruma","4500","4.92","Jalan Kia Peng, KLCC, 50450, Kuala Lumpur","3.152483","101.714436","Kuala Lumpur","KLCC","2+1","2","915","1","Fully furnished","2021-05-08T12:30:11.863Z","3625","Intermediate","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","2199","2.88","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","1","1","764","NULL","Fully furnished","2021-05-08T12:14:03.342Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1699","3.45","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","493","NULL","Fully furnished","2021-05-08T12:13:01.745Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","2000","2.22","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","2","1","900","NULL","Fully furnished","2021-05-08T12:12:20.306Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1799","2.4","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","1","1","750","NULL","Fully furnished","2021-05-08T12:11:32.816Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1350","2.7","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","500","NULL","Fully furnished","2021-05-08T12:10:40.628Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","2399","2.18","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","2","2","1,100","NULL","Fully furnished","2021-05-08T12:09:42.957Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1300","2.6","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","500","NULL","Fully furnished","2021-05-08T12:08:38.706Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1400","2.98","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","470","NULL","Fully furnished","2021-05-08T12:07:31.534Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","4000","2.96","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","4","2","1,350","NULL","Fully furnished","2021-05-08T12:06:43.104Z","2775","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1499","3","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","500","NULL","Fully furnished","2021-05-08T12:05:46.195Z","2775","NULL","Serviced Residence"
"Soho Suites @ KLCC, KLCC","Soho Suites @ KLCC","2299","3.28","Jalan Perak, KLCC, 50450, Kuala Lumpur","3.153948","101.709966","Kuala Lumpur","KLCC","2","1","700","1","Fully furnished","2021-05-08T12:04:34.748Z","2415","NULL","Serviced Residence"
"Mercu Summer Suites, KL City, KLCC","Mercu Summer Suites","1299","2.6","Jalan Cendana, KL City, 50250, Kuala Lumpur","3.158838","101.704913","Kuala Lumpur","KLCC","Studio","1","500","NULL","Fully furnished","2021-05-08T12:03:23.807Z","2775","NULL","Serviced Residence"
"The Mews, KLCC","The Mews","8200","3.97","Jalan Yap Kwan Seng, KLCC, 50450, Kuala Lumpur","3.162235","101.713274","Kuala Lumpur","KLCC","3+1","3","2,066","2","Fully furnished","2021-05-08T12:00:39.033Z","3484","Intermediate","Serviced Residence"
"Sky Suites @ KLCC, KLCC","Sky Suites @ KLCC","3500","4.12","Jalan Pinang, KLCC, 50250, Kuala Lumpur","3.156244","101.708966","Kuala Lumpur","KLCC","3","2","850","NULL","Fully furnished","2021-05-08T12:00:33.495Z","6432","NULL","Serviced Residence"
"The Troika, KLCC","The Troika","9888","3.96","Persiaran KLCC, KLCC, 50450, Kuala Lumpur","3.158254","101.717989","Kuala Lumpur","KLCC","3+1","5","2,500","2","NULL","2021-05-08T11:36:19.842Z","1226","NULL","Condominium"
"Aria, KLCC","Aria","3500","5.56","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","1","1","630","NULL","Fully furnished","2021-05-08T11:33:15.164Z","4625","NULL","Serviced Residence"
"Le Nouvel, KLCC","Le Nouvel","10800","6","152, Jalan Ampang, 50450, Kuala Lumpur","3.159405","101.712029","Kuala Lumpur","KLCC","2","2","1,800","2","Fully furnished","2021-05-08T11:33:08.096Z","5481","NULL","Condominium"
"Binjai 8, KL City Centre, KLCC","Binjai 8","2600","NULL","Lorong Binjai, KL City Centre, 50450, Kuala Lumpur","3.158809","101.717303","Kuala Lumpur","KLCC","1","2","800","NULL","Fully Furnished","2021-05-08T11:23:00Z","1997","Intermediate","Serviced Residence"
"Aria, KLCC","Aria","8500","5.66","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","3","3","1,502","2","Fully furnished","2021-05-08T11:10:44.908Z","4625","NULL","Serviced Residence"
"Marc Residence, KLCC","Marc Residence","3000","3.76","No. 3 Jalan Pinang, KLCC, 50450, Kuala Lumpur","3.155394","101.710299","Kuala Lumpur","KLCC","2","2","797","1","NULL","2021-05-08T11:03:45.264Z","1381","NULL","Serviced Residence"
"Fraser Residence (188 Suites), KLCC","Fraser Residence (188 Suites)","2100","3.44","Jalan Cendana, KLCC, 50250, Kuala Lumpur","3.159175","101.704977","Kuala Lumpur","KLCC","1","1","610","NULL","Fully furnished","2021-05-08T11:00:31.754Z","2464","Intermediate","Serviced Residence"
"Aria, KLCC","Aria","2950","4.68","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","1","1","630","1","Fully furnished","2021-05-08T10:30:30.224Z","4625","Intermediate","Serviced Residence"
"Hampshire Residences, Hampshire Park, KLCC","Hampshire Residences","7000","2.4","Persiaran Hampshire, Hampshire Park, 50450, Kuala Lumpur","3.161396","101.71506","Kuala Lumpur","KLCC","4+1","6","2,916","2","Partly furnished","2021-05-08T10:19:00.844Z","10","NULL","Condominium"
"Sky Suites @ KLCC, KLCC","Sky Suites @ KLCC","2300","3.54","Jalan Pinang, KLCC, 50250, Kuala Lumpur","3.156244","101.708966","Kuala Lumpur","KLCC","2","2","650","NULL","Fully furnished","2021-05-08T10:09:30.695Z","6432","Intermediate","Serviced Residence"
"Aria, KLCC","Aria","9500","6.32","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","3","2","1,502","2","Fully furnished","2021-05-08T10:06:19.287Z","4625","Corner lot","Serviced Residence"
"Ramada (One @ Bukit Ceylon), KLCC","Ramada (One @ Bukit Ceylon)","1500","3.49","Lorong Ceylon, KLCC, 50200, Kuala Lumpur","3.148547","101.707757","Kuala Lumpur","KLCC","Studio","1","430","NULL","Fully furnished","2021-05-08T10:00:11.408Z","4088","Intermediate","Serviced Residence"
"The Pearl KLCC, KL, KLCC","The Pearl KLCC","7000","2.25","Jalan Stonor, KL, 50088, Kuala Lumpur","3.151542","101.716952","Kuala Lumpur","KLCC","3+1","6","3,109","3","Partly furnished","2021-05-08T09:56:03.554Z","1937","Corner lot","Condominium"
"Idaman Residence, KL City Centre, KLCC","Idaman Residence","4800","2.21","Jalan Law Yew Swee, KL City Centre, 50250, Kuala Lumpur","3.156616","101.708714","Kuala Lumpur","KLCC","3+1","3","2,174","1","Fully furnished","2021-05-08T09:39:29.359Z","1553","Corner lot","Condominium"
"Aria, KLCC","Aria","5700","4.92","Jalan Tun Razak, KLCC, 50450, Kuala Lumpur","3.153932","101.722064","Kuala Lumpur","KLCC","2+1","2","1,159","1","Fully furnished","2021-05-08T09:35:29.640Z","4625","Corner lot","Serviced Residence"
"Sky Suites @ KLCC, KLCC","Sky Suites @ KLCC","3200","3.61","Jalan Pinang, KLCC, 50250, Kuala Lumpur","3.156244","101.708966","Kuala Lumpur","KLCC","3","2","887","NULL","Fully furnished","2021-05-08T09:29:19.486Z","6432","Corner lot","Serviced Residence"
"Fraser Residence (188 Suites), KLCC","Fraser Residence (188 Suites)","1800","2.95","Jalan Cendana, KLCC, 50250, Kuala Lumpur","3.159175","101.704977","Kuala Lumpur","KLCC","1","1","610","1","Fully furnished","2021-05-08T09:28:26.295Z","2464","NULL","Serviced Residence"
"Sky Suites @ KLCC, KLCC","Sky Suites @ KLCC","3000","4.23","Jalan Pinang, KLCC, 50250, Kuala Lumpur","3.156244","101.708966","Kuala Lumpur","KLCC","2","2","710","NULL","Fully furnished","2021-05-08T09:27:21.591Z","6432","Corner lot","Serviced Residence"
"Vortex, KLCC","Vortex","1800","2.46","Jalan Sultan Ismail, KLCC, 50250, Kuala Lumpur","3.154365","101.707512","Kuala Lumpur","KLCC","2","2","732","NULL","Fully furnished","2021-05-08T09:15:30.435Z","3879","Intermediate","Serviced Residence"
"Soho Suites @ KLCC, KLCC","Soho Suites @ KLCC","2800","3.55","Jalan Perak, KLCC, 50450, Kuala Lumpur","3.153948","101.709966","Kuala Lumpur","KLCC","2","2","788","1","Fully furnished","2021-05-08T09:13:03.293Z","2415","Intermediate","Serviced Residence"
