"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Arte Condominium, Kuchai Lama","Arte Condominium","2800","1.44","Jalan Kuchai Maju 12, Kuchai Lama, 58200, Kuala Lumpur","3.087846","101.687093","Kuala Lumpur","Kuchai Lama","3+1","3","1,948","2","Fully furnished","2021-05-08T12:36:13.604Z","2473","Intermediate","Condominium"
"Arte Condominium, Kuchai Lama","Arte Condominium","3000","1.73","Jalan Kuchai Maju 12, Kuchai Lama, 58200, Kuala Lumpur","3.087846","101.687093","Kuala Lumpur","Kuchai Lama","3+1","3","1,733","2","Fully furnished","2021-05-08T12:36:03.068Z","2473","Intermediate","Condominium"
"Arte Condominium, Kuchai Lama","Arte Condominium","3200","1.85","Jalan Kuchai Maju 12, Kuchai Lama, 58200, Kuala Lumpur","3.087846","101.687093","Kuala Lumpur","Kuchai Lama","3+1","3","1,733","2","Fully furnished","2021-05-08T12:35:54.959Z","2473","Corner lot","Condominium"
"Dynasty Garden Condominium, Kuchai Entreprenuner Park, Kuchai Lama","Dynasty Garden Condominium","1400","1.25","Jalan Kuchai Maju 12, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.088645","101.686102","Kuala Lumpur","Kuchai Lama","3","2","1,120","1","NULL","2021-05-08T07:29:14.597Z","1729","NULL","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1800","1.83","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","Fully furnished","2021-05-08T07:00:17.109Z","4404","NULL","Condominium"
"The Riyang, Kuchai Lama","The Riyang","4200","2.47","Jalan 1/127, Taman Gembira, Kuchai Lama, 58200, Kuala Lumpur","3.083302","101.688936","Kuala Lumpur","Kuchai Lama","3","1","1,700","2","Partly furnished","2021-05-08T06:46:57.283Z","4388","Corner lot","Condominium"
"The Riyang, Kuchai Lama","The Riyang","3000","2.03","Jalan 1/127, Taman Gembira, Kuchai Lama, 58200, Kuala Lumpur","3.083302","101.688936","Kuala Lumpur","Kuchai Lama","3+1","3","1,477","2","Partly furnished","2021-05-08T06:38:33.654Z","4388","Corner lot","Condominium"
"Kuchai Brem Park 1, Taman Gembira, Kuchai Lama","Kuchai Brem Park 1","1300","1.19","Jln Selesa 2, Taman Gembira, 58200, Kuala Lumpur","3.085848","101.687275","Kuala Lumpur","Kuchai Lama","3","2","1,097","1","Fully furnished","2021-05-08T05:01:07.186Z","134","Intermediate","Condominium"
"Dynasty Garden Condominium, Kuchai Entreprenuner Park, Kuchai Lama","Dynasty Garden Condominium","1900","1.7","Jalan Kuchai Maju 12, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.088645","101.686102","Kuala Lumpur","Kuchai Lama","3","2","1,120","2","Fully furnished","2021-05-08T04:33:36.818Z","1729","Intermediate","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","2000","2.03","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","NULL","2021-05-08T04:04:32.237Z","4404","NULL","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1800","1.83","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","Fully furnished","2021-05-08T03:09:37.912Z","4404","Intermediate","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","2200","2.23","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","NULL","2021-05-08T02:40:30.488Z","4404","Corner lot","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1600","1.62","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","Fully furnished","2021-05-08T02:40:23.189Z","4404","Intermediate","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1700","1.72","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","NULL","2021-05-08T02:40:14.660Z","4404","NULL","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1800","1.83","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","Fully furnished","2021-05-08T02:28:57.231Z","4404","NULL","Condominium"
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Spring Avenue (Kuchai Damai)","1800","1.83","Jalan 9/116B, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.086125","101.69081","Kuala Lumpur","Kuchai Lama","3","2","986","2","Fully furnished","2021-05-08T02:28:36.786Z","4404","NULL","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","1450","1.55","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","2","2","936","2","Partly furnished","2021-05-08T02:24:26.800Z","2922","Intermediate","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","1800","1.36","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","3","2","1,328","2","Partly furnished","2021-05-08T02:22:46.020Z","2922","Corner lot","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","1500","1.13","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","3","2","1,328","2","Partly furnished","2021-05-08T02:22:19.943Z","2922","Corner lot","Condominium"
"Kuchai Brem Park 1, Taman Gembira, Kuchai Lama","Kuchai Brem Park 1","1150","1.15","Jln Selesa 2, Taman Gembira, 58200, Kuala Lumpur","3.085848","101.687275","Kuala Lumpur","Kuchai Lama","3","2","1,000","1","Partly furnished","2021-05-07T19:15:49.948Z","134","Intermediate","Condominium"
"Kuchai Brem Park 2, Taman Gembira, Kuchai Lama","Kuchai Brem Park 2","1450","0.91","Jalan Selesa 2, Taman Gembira, 58200, Kuala Lumpur","3.085656","101.687235","Kuala Lumpur","Kuchai Lama","3","2","1,600","1","Partly furnished","2021-05-07T17:44:23.368Z","6300","Corner lot","Condominium"
"Arte Condominium, Kuchai Lama","Arte Condominium","3800","1.31","Jalan Kuchai Maju 12, Kuchai Lama, 58200, Kuala Lumpur","3.087846","101.687093","Kuala Lumpur","Kuchai Lama","6","4","2,900","3","Fully furnished","2021-05-07T13:00:23.324Z","2473","NULL","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","1600","1.22","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","3+1","2","1,313","2","Partly furnished","2021-05-07T09:44:05.065Z","2922","NULL","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","2200","1.4","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","3","2","1,570","2","NULL","2021-05-07T09:43:43.044Z","2922","NULL","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","2200","1.66","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","3","2","1,328","2","NULL","2021-05-07T09:42:14.936Z","2922","NULL","Condominium"
"Kuchai Avenue, Kuchai Entrepreneurs Park, Kuchai Lama","Kuchai Avenue","1200","1.26","Jalan Kuchai Maju 13, Kuchai Entrepreneurs Park, 57100, Kuala Lumpur","3.08683","101.692462","Kuala Lumpur","Kuchai Lama","3","2","950","1","Unfurnished","2021-05-07T07:15:54.575Z","1931","NULL","Serviced Residence"
"GenKL, Kuchai Lama","GenKL","3000","2.19","Jalan Kuchai Lama, Taman Lien Hoe, Kuchai Lama, 58100, Kuala Lumpur","3.092456","101.678038","Kuala Lumpur","Kuchai Lama","3+1","3","1,370","2","Partly furnished","2021-05-07T06:53:58.698Z","5001","Intermediate","Condominium"
"Palace Court (Sri Istana), Taman Kuchai Jaya, Kuchai Lama","Palace Court (Sri Istana)","1500","1.6","Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200, Kuala Lumpur","3.088168","101.68352","Kuala Lumpur","Kuchai Lama","2","2","936","2","NULL","2021-05-07T06:09:51.810Z","2922","Intermediate","Condominium"
"Dynasty Garden Condominium, Kuchai Entreprenuner Park, Kuchai Lama","Dynasty Garden Condominium","1500","1.34","Jalan Kuchai Maju 12, Kuchai Entreprenuner Park, 58200, Kuala Lumpur","3.088645","101.686102","Kuala Lumpur","Kuchai Lama","3","2","1,120","1","Partly furnished","2021-05-07T06:01:22.920Z","1729","NULL","Condominium"
