"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Casa Kiara II, Mont Kiara","Casa Kiara II","3900","2.6","Jalan Kiara 5, Mont Kiara, 50480, Kuala Lumpur","3.168831","101.646774","Kuala Lumpur","Mont Kiara","3+1","3","1,500","2","Fully furnished","2021-05-08T13:35:14.507Z","1587","Corner lot","Condominium"
"Pavilion Hilltop, Mont Kiara","Pavilion Hilltop","5500","3.68","Jalan Kiara, Mont Kiara, 50480, Kuala Lumpur","3.169481","101.657568","Kuala Lumpur","Mont Kiara","3+1","4","1,496","2","Fully furnished","2021-05-08T13:34:48.987Z","3232","NULL","Condominium"
"Pavilion Hilltop, Mont Kiara","Pavilion Hilltop","8000","2.89","Jalan Kiara, Mont Kiara, 50480, Kuala Lumpur","3.169481","101.657568","Kuala Lumpur","Mont Kiara","4+1","6","2,767","3","Fully furnished","2021-05-08T13:34:20.074Z","3232","NULL","Condominium"
"Twy Duplex Condos, Mont Kiara","Twy Duplex Condos","2500","3.05","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.174419","101.651739","Kuala Lumpur","Mont Kiara","2","1","821","1","Fully furnished","2021-05-08T13:34:06.661Z","3284","NULL","Condominium"
"Casa Kiara II, Mont Kiara","Casa Kiara II","3800","2.41","Jalan Kiara 5, Mont Kiara, 50480, Kuala Lumpur","3.168831","101.646774","Kuala Lumpur","Mont Kiara","2+1","3","1,574","2","Fully furnished","2021-05-08T13:31:41.734Z","1587","Corner lot","Condominium"
"Casa Kiara II, Mont Kiara","Casa Kiara II","3800","2.53","Jalan Kiara 5, Mont Kiara, 50480, Kuala Lumpur","3.168831","101.646774","Kuala Lumpur","Mont Kiara","2+1","3","1,500","2","Fully furnished","2021-05-08T13:25:57.987Z","1587","Corner lot","Condominium"
"Seni Mont Kiara, Mont Kiara","Seni Mont Kiara","6800","2.82","Jalan Changkat Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.171252","101.659441","Kuala Lumpur","Mont Kiara","3+1","4","2,411","3","Partly furnished","2021-05-08T13:23:26.680Z","2115","NULL","Condominium"
"Verve Suites, Mont Kiara","Verve Suites","1800","3.9","Jalan Kiara 5, Mont Kiara, 60000, Kuala Lumpur","3.167738","101.646011","Kuala Lumpur","Mont Kiara","1","1","462","1","Fully furnished","2021-05-08T13:09:13.969Z","1386","Intermediate","Serviced Residence"
"Mont Kiara Aman, Mont Kiara","Mont Kiara Aman","7500","2.88","Jalan Kiara 2, Mont Kiara, 50480, Kuala Lumpur","3.172807","101.656002","Kuala Lumpur","Mont Kiara","3","3","2,600","2","Fully furnished","2021-05-08T13:08:27.143Z","1560","NULL","Condominium"
"Casa Kiara II, Mont Kiara","Casa Kiara II","3800","2.53","Jalan Kiara 5, Mont Kiara, 50480, Kuala Lumpur","3.168831","101.646774","Kuala Lumpur","Mont Kiara","2+1","3","1,500","2","Fully furnished","2021-05-08T13:04:57.712Z","1587","Corner lot","Condominium"
"Verve Suites, Mont Kiara","Verve Suites","3500","3.78","Jalan Kiara 5, Mont Kiara, 60000, Kuala Lumpur","3.167738","101.646011","Kuala Lumpur","Mont Kiara","2","2","926","1","Fully furnished","2021-05-08T13:03:08.238Z","1386","NULL","Serviced Residence"
"Twy Duplex Condos, Mont Kiara","Twy Duplex Condos","2300","2.8","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.174419","101.651739","Kuala Lumpur","Mont Kiara","2","1","821","1","Fully furnished","2021-05-08T12:55:14.140Z","3284","NULL","Condominium"
"Residensi 22, Mont Kiara","Residensi 22","8300","4.11","Jalan Kiara 3, Mont Kiara, 50480, Kuala Lumpur","3.167875","101.650085","Kuala Lumpur","Mont Kiara","3","3","2,020","2","Fully furnished","2021-05-08T12:42:54.591Z","3030","NULL","Condominium"
"Twy Duplex Condos, Mont Kiara","Twy Duplex Condos","2500","3.05","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.174419","101.651739","Kuala Lumpur","Mont Kiara","2","1","821","1","Fully furnished","2021-05-08T12:14:59.170Z","3284","Duplex","Condominium"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2000","4.52","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","1","442","1","Fully furnished","2021-05-08T11:50:39.509Z","4141","Intermediate","Serviced Residence"
"Agile Mont Kiara, Mont Kiara","Agile Mont Kiara","5800","3.62","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.17219","101.661705","Kuala Lumpur","Mont Kiara","3+1","4","1,603","2","Fully furnished","2021-05-08T11:48:39.206Z","3992","Intermediate","Condominium"
"Twy Duplex Condos, Mont Kiara","Twy Duplex Condos","2950","3.59","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.174419","101.651739","Kuala Lumpur","Mont Kiara","2","1","821","1","Fully furnished","2021-05-08T11:47:05.955Z","3284","Duplex","Condominium"
"Twy Duplex Condos, Mont Kiara","Twy Duplex Condos","2250","2.74","Jalan Duta Kiara, Mont Kiara, 50480, Kuala Lumpur","3.174419","101.651739","Kuala Lumpur","Mont Kiara","2","1","821","1","Fully furnished","2021-05-08T11:44:16.980Z","3284","NULL","Condominium"
"Arcoris Soho, Mont Kiara","Arcoris Soho","3000","3.13","Jalan Kiara 4, Mont Kiara, 50840, Kuala Lumpur","3.166783","101.651499","Kuala Lumpur","Mont Kiara","1","1","960","1","Fully furnished","2021-05-08T11:30:40.301Z","4706","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","1600","3.09","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","2","518","1","Fully furnished","2021-05-08T11:21:14.578Z","4141","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2200","4.45","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","2","494","1","Fully furnished","2021-05-08T11:16:25.574Z","4141","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","1800","3.64","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","2","494","1","Fully furnished","2021-05-08T11:08:49.378Z","4141","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","3200","3.73","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","2","2","859","2","NULL","2021-05-08T11:03:38.580Z","4141","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2000","4.52","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","2","442","1","NULL","2021-05-08T11:03:31.286Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","1450","2.73","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","2","531","1","NULL","2021-05-08T11:03:17.026Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","1800","4.07","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","1","442","1","Fully furnished","2021-05-08T10:59:46.515Z","4141","Intermediate","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","3000","3.39","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","2","2","886","2","NULL","2021-05-08T10:56:03.232Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2000","4.52","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","2","1","442","1","NULL","2021-05-08T10:55:30.448Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2300","5.2","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","1","442","1","NULL","2021-05-08T10:55:25.630Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","2000","4.05","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","1","1","494","1","NULL","2021-05-08T10:55:19.844Z","4141","NULL","Serviced Residence"
"Arte Mont Kiara, Mont Kiara","Arte Mont Kiara","3800","4.11","Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Mont Kiara, 50480, Kuala Lumpur","3.175975","101.664466","Kuala Lumpur","Mont Kiara","2","1","925","2","NULL","2021-05-08T10:55:00.627Z","4141","NULL","Serviced Residence"
