"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"United Point, Segambut","United Point","1800","1.88","Jalan Lang Emas, Tmn Sri Sinar, Segambut, Segambut, 52100, Kuala Lumpur","3.190758","101.654263","Kuala Lumpur","Segambut","3","2","958","2","Fully furnished","2021-05-14T09:49:50.447Z","4135","Intermediate","Serviced Residence"
"Anjali North Kiara, Segambut","Anjali North Kiara","4599","2.57","Jalan 3/61, Bukit Segambut, Segambut, 51200, Kuala Lumpur","3.183339","101.652332","Kuala Lumpur","Segambut","3+1","4","1,788","2","Fully furnished","2021-05-14T08:56:04.868Z","3320","NULL","Condominium"
"Anjali North Kiara, Segambut","Anjali North Kiara","2600","1.97","Jalan 3/61, Bukit Segambut, Segambut, 51200, Kuala Lumpur","3.183339","101.652332","Kuala Lumpur","Segambut","3+1","2","1,319","2","Partly furnished","2021-05-14T08:55:59.846Z","3320","NULL","Condominium"
"Anjali North Kiara, Segambut","Anjali North Kiara","3299","2.5","Jalan 3/61, Bukit Segambut, Segambut, 51200, Kuala Lumpur","3.183339","101.652332","Kuala Lumpur","Segambut","3","2","1,319","2","Fully furnished","2021-05-14T08:55:50.169Z","3320","NULL","Condominium"
"United Point, Segambut","United Point","2200","2.3","Jalan Lang Emas, Tmn Sri Sinar, Segambut, Segambut, 52100, Kuala Lumpur","3.190758","101.654263","Kuala Lumpur","Segambut","3","2","958","1","Fully furnished","2021-05-14T08:54:56.109Z","4135","NULL","Serviced Residence"
"United Point, Segambut","United Point","2100","2.19","Jalan Lang Emas, Tmn Sri Sinar, Segambut, Segambut, 52100, Kuala Lumpur","3.190758","101.654263","Kuala Lumpur","Segambut","3","2","958","2","NULL","2021-05-14T08:54:09.310Z","4135","NULL","Serviced Residence"
"Residensi Harmoni 2, Taman Bukit Prima Pelangi, Segambut","Residensi Harmoni 2","2000","1.41","Persiaran Prima Pelangi, Taman Bukit Prima Pelangi, 51200, Kuala Lumpur","3.177779","101.645374","Kuala Lumpur","Segambut","3+1","3","1,416","2","Partly furnished","2021-05-14T08:53:21.770Z","4819","NULL","Condominium"
"Residensi Harmoni 2, Taman Bukit Prima Pelangi, Segambut","Residensi Harmoni 2","2400","1.74","Persiaran Prima Pelangi, Taman Bukit Prima Pelangi, 51200, Kuala Lumpur","3.177779","101.645374","Kuala Lumpur","Segambut","3+1","3","1,383","2","Partly furnished","2021-05-14T08:53:16.922Z","4819","NULL","Condominium"
"Residensi Harmoni 2, Taman Bukit Prima Pelangi, Segambut","Residensi Harmoni 2","2100","1.52","Persiaran Prima Pelangi, Taman Bukit Prima Pelangi, 51200, Kuala Lumpur","3.177779","101.645374","Kuala Lumpur","Segambut","3+1","3","1,383","2","Partly furnished","2021-05-14T08:53:04.959Z","4819","NULL","Condominium"
"Villa Orkid, Bukit Prima Pelangi, Segambut","Villa Orkid","2250","1.19","Jalan Prima Pelangi 7, Bukit Prima Pelangi, 51200, Kuala Lumpur","3.178085","101.64452","Kuala Lumpur","Segambut","3+1","3","1,893","2","Fully furnished","2021-05-14T08:52:09.068Z","2839","NULL","Condominium"
