"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Rica Residence, Sentul","Rica Residence","2700","2.73","Jalan Perhentian, Sentul, Sentul, 51100, Kuala Lumpur","3.177865","101.687089","Kuala Lumpur","Sentul","3","2","990","2","Fully furnished","2021-05-14T08:55:42.546Z","4424","NULL","Serviced Residence"
"The Fennel, Sentul Selatan, Sentul","The Fennel","1400","3.5","Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur","3.182477","101.692996","Kuala Lumpur","Sentul","1","1","400","1","Fully furnished","2021-05-14T08:20:02.545Z","2986","Intermediate","Condominium"
"The Fennel, Sentul Selatan, Sentul","The Fennel","1400","3.5","Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur","3.182477","101.692996","Kuala Lumpur","Sentul","Studio","1","400","1","Fully furnished","2021-05-14T08:19:33.089Z","2986","Intermediate","Condominium"
"The Fennel, Sentul Selatan, Sentul","The Fennel","1400","3.5","Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur","3.182477","101.692996","Kuala Lumpur","Sentul","Studio","1","400","1","Fully furnished","2021-05-14T08:19:07.519Z","2986","NULL","Condominium"
"The Fennel, Sentul Selatan, Sentul","The Fennel","2100","2.63","Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur","3.182477","101.692996","Kuala Lumpur","Sentul","2","2","800","1","Fully furnished","2021-05-14T08:17:24.130Z","2986","Intermediate","Condominium"
"The Capers @ Sentul East, Sentul East, Sentul","The Capers @ Sentul East","3200","2.32","Lorong Timur, Sentul East, 51000, Kuala Lumpur","3.181199","101.693935","Kuala Lumpur","Sentul","3+1","4","1,381","1","Fully furnished","2021-05-14T08:15:23.500Z","2051","Corner lot","Condominium"
"The Capers @ Sentul East, Sentul East, Sentul","The Capers @ Sentul East","3700","2.37","Lorong Timur, Sentul East, 51000, Kuala Lumpur","3.181199","101.693935","Kuala Lumpur","Sentul","3+1","4","1,562","2","Fully furnished","2021-05-14T08:15:08.886Z","2051","Corner lot","Condominium"
"The Capers @ Sentul East, Sentul East, Sentul","The Capers @ Sentul East","4200","2.91","Lorong Timur, Sentul East, 51000, Kuala Lumpur","3.181199","101.693935","Kuala Lumpur","Sentul","3+1","4","1,442","2","Fully furnished","2021-05-14T08:14:54.264Z","2051","Intermediate","Condominium"
"The Capers @ Sentul East, Sentul East, Sentul","The Capers @ Sentul East","2200","2.2","Lorong Timur, Sentul East, 51000, Kuala Lumpur","3.181199","101.693935","Kuala Lumpur","Sentul","2+1","3","999","1","Partly furnished","2021-05-14T08:14:35.949Z","2051","Intermediate","Condominium"
"The Capers @ Sentul East, Sentul East, Sentul","The Capers @ Sentul East","2100","2.55","Lorong Timur, Sentul East, 51000, Kuala Lumpur","3.181199","101.693935","Kuala Lumpur","Sentul","2","2","824","1","Partly furnished","2021-05-14T08:13:22.667Z","2051","Intermediate","Condominium"
"The Fennel, Sentul Selatan, Sentul","The Fennel","3000","2.53","Jalan Enam, Sentul Selatan, 51000, Kuala Lumpur","3.182477","101.692996","Kuala Lumpur","Sentul","3","3","1,186","2","Fully furnished","2021-05-14T08:12:58.133Z","2986","Intermediate","Condominium"
