"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Seputeh Permai, Taman Seputeh, Seputeh","Seputeh Permai","2500","1.92","Jalan Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.121606","101.681969","Kuala Lumpur","Seputeh","3","2","1,300","1","Fully furnished","2021-05-08T15:12:13.164Z","915","Intermediate","Condominium"
"Bukit Robson Condominium, Taman Seputeh, Seputeh","Bukit Robson Condominium","1800","2.12","Persiaran Syed Putra 5, Taman Seputeh, 50460, Kuala Lumpur","3.119464","101.685976","Kuala Lumpur","Seputeh","1+1","1","850","1","Fully furnished","2021-05-08T02:38:10.651Z","425","NULL","Condominium"
"Robson Condominium, Taman Seputeh, Seputeh","Robson Condominium","2500","1.77","Persiaran Syed Putra 2, Taman Seputeh, 58000, Kuala Lumpur","3.121509","101.683748","Kuala Lumpur","Seputeh","3","2","1,414","1","Fully furnished","2021-05-08T02:37:56.884Z","882","Corner lot","Condominium"
"Seputeh Permai, Taman Seputeh, Seputeh","Seputeh Permai","1900","1.46","Jalan Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.121606","101.681969","Kuala Lumpur","Seputeh","3","2","1,300","1","Unfurnished","2021-05-08T02:37:29.652Z","915","Corner lot","Condominium"
"Sri Tiara Residences, Taman Seputeh, Seputeh","Sri Tiara Residences","2600","2.36","No. 6 Jalan Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.121821","101.6828","Kuala Lumpur","Seputeh","2","2","1,100","1","Fully furnished","2021-05-08T02:37:00.370Z","1017","Corner lot","Serviced Residence"
"Robson Condominium, Taman Seputeh, Seputeh","Robson Condominium","2100","1.47","Persiaran Syed Putra 2, Taman Seputeh, 58000, Kuala Lumpur","3.121509","101.683748","Kuala Lumpur","Seputeh","3","2","1,430","1","Partly furnished","2021-05-08T02:35:46.299Z","882","Corner lot","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1800","2.25","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","3","1","800","NULL","NULL","2021-05-07T06:59:01.074Z","1508","Intermediate","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1800","1.64","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","3","2","1,100","1","Fully furnished","2021-05-07T06:46:03.520Z","1508","NULL","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1400","2","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","2","1","700","1","Partly furnished","2021-05-07T06:45:00.973Z","1508","NULL","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1900","1.73","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","3","2","1,100","NULL","Fully furnished","2021-05-07T06:43:08.701Z","1508","NULL","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1600","2.29","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","2","2","700","1","Fully furnished","2021-05-07T06:42:30.621Z","1508","NULL","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1100","2.2","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","Studio","1","500","NULL","Fully furnished","2021-05-07T06:41:51.785Z","1508","Intermediate","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1100","2.2","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","Studio","1","500","NULL","Fully furnished","2021-05-07T06:41:44.484Z","1508","Intermediate","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1200","2.4","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","Studio","1","500","1","Fully furnished","2021-05-07T04:19:49.599Z","1508","Intermediate","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1200","2.18","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","Studio","1","550","1","Fully furnished","2021-05-07T04:15:42.616Z","1508","Intermediate","Condominium"
"Saville Residence, Seputeh","Saville Residence","2200","1.71","Jalan Klang Lama (Old Klang Road), Seputeh, 58100, Kuala Lumpur","3.111029","101.678663","Kuala Lumpur","Seputeh","3+2","3","1,288","2","Fully furnished","2021-05-06T12:34:57.926Z","1900","NULL","Serviced Residence"
"Robson Heights, Taman Seputeh, Seputeh","Robson Heights","1800","2.42","Jalan Persiaran Endah, Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.122003","101.688391","Kuala Lumpur","Seputeh","1","1","743","1","Fully furnished","2021-05-06T07:52:30.123Z","881","Studio","Condominium"
"Robson Heights, Taman Seputeh, Seputeh","Robson Heights","3200","1.78","Jalan Persiaran Endah, Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.122003","101.688391","Kuala Lumpur","Seputeh","3+1","3","1,800","1","NULL","2021-05-06T07:09:55.506Z","881","NULL","Condominium"
"Seputeh Permai, Taman Seputeh, Seputeh","Seputeh Permai","2200","1.68","Jalan Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.121606","101.681969","Kuala Lumpur","Seputeh","3","2","1,312","1","Fully furnished","2021-05-06T06:56:13.073Z","915","NULL","Condominium"
"Robson Heights, Taman Seputeh, Seputeh","Robson Heights","1800","2.42","Jalan Persiaran Endah, Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.122003","101.688391","Kuala Lumpur","Seputeh","1","1","743","1","NULL","2021-05-06T06:52:12.609Z","881","Studio","Condominium"
"Saville Residence, Seputeh","Saville Residence","2200","1.71","Jalan Klang Lama (Old Klang Road), Seputeh, 58100, Kuala Lumpur","3.111029","101.678663","Kuala Lumpur","Seputeh","3+2","3","1,288","2","Fully furnished","2021-05-05T15:33:18.634Z","1900","NULL","Serviced Residence"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1500","1.88","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","2","1","800","1","Fully furnished","2021-05-05T04:19:16.470Z","1508","NULL","Condominium"
"Robson Condominium, Taman Seputeh, Seputeh","Robson Condominium","2500","1.72","Persiaran Syed Putra 2, Taman Seputeh, 58000, Kuala Lumpur","3.121509","101.683748","Kuala Lumpur","Seputeh","3","2","1,450","1","Fully furnished","2021-05-05T04:00:32.561Z","882","NULL","Condominium"
"Robson Heights, Taman Seputeh, Seputeh","Robson Heights","2500","1.6","Jalan Persiaran Endah, Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.122003","101.688391","Kuala Lumpur","Seputeh","3","3","1,560","1","Fully furnished","2021-05-05T04:00:31.689Z","881","NULL","Condominium"
"Robson Heights, Taman Seputeh, Seputeh","Robson Heights","2800","1.79","Jalan Persiaran Endah, Taman Seputeh, Taman Seputeh, 58000, Kuala Lumpur","3.122003","101.688391","Kuala Lumpur","Seputeh","3+1","3","1,560","1","NULL","2021-05-05T04:00:31.484Z","881","NULL","Condominium"
"Menara Seputih, Taman Seputeh, Seputeh","Menara Seputih","1200","1.5","Jalan Klang Lama, Taman Seputeh, 58000, Kuala Lumpur","3.11546","101.67938","Kuala Lumpur","Seputeh","1+1","1","798","2","Partly furnished","2021-05-05T01:19:12.151Z","1508","Intermediate","Condominium"
"Robson Condominium, Taman Seputeh, Seputeh","Robson Condominium","2500","1.72","Persiaran Syed Putra 2, Taman Seputeh, 58000, Kuala Lumpur","3.121509","101.683748","Kuala Lumpur","Seputeh","3","2","1,450","1","Fully furnished","2021-05-04T09:21:34.667Z","882","Intermediate","Condominium"
"Merc Residence, Taman Bukit Desa, Seputeh","Merc Residence","2000","NULL","Jalan Taman Bukit Desa, Taman Bukit Desa, 58100, Kuala Lumpur","3.110033","101.680973","Kuala Lumpur","Seputeh","2","2","1,025","1","Fully Furnished","2021-05-04T08:50:00Z","1682","NULL","Condominium"
"Kristal Court Robson Heights, Taman Persiaran Desa, Seputeh","Kristal Court Robson Heights","1800","1.64","Jalan Permai,Taman Persiaran Desa, Taman Persiaran Desa, 50460, Kuala Lumpur","3.123674","101.687036","Kuala Lumpur","Seputeh","3","2","1,100","1","Partly furnished","2021-05-04T08:06:52.382Z","463","NULL","Condominium"
