"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","2500","3.25","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.187962","101.734191","Kuala Lumpur","Wangsa Maju","3","2","770","1","Fully furnished","2021-05-14T03:12:42.766Z","3402","NULL","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","1.53","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.187962","101.734191","Kuala Lumpur","Wangsa Maju","4","2","850","2","NULL","2021-05-14T01:56:32.064Z","3402","NULL","Serviced Residence"
"KL Traders Square, Setapak","KL Traders Square","2500","2.97","Jalan Gombak Batu 4, Setapak, 53000, Kuala Lumpur","3.20411","101.702575","Kuala Lumpur","Setapak","3","2","842","1","NULL","2021-05-14T01:53:54.307Z","5179","NULL","Serviced Residence"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1500","1.67","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199616","101.719807","Kuala Lumpur","Setapak","2","2","900","1","Partly furnished","2021-05-14T01:51:10.214Z","4237","NULL","Serviced Residence"
"The Veo, Taman Melawati, Setapak","The Veo","1800","2.39","Jalan Melati Kuarza 2, Taman Melawati, 53100, Kuala Lumpur","3.226147","101.7311","Kuala Lumpur","Setapak","1","1","753","1","Fully furnished","2021-05-14T01:37:16.925Z","2794","Intermediate","Condominium"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Intermediate","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1400","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3+1","2","850","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Intermediate","Serviced Residence"
"The Nest @ Genting Klang, Setapak","The Nest @ Genting Klang","1900","NULL","Jalan Genting Kelang, Setapak, 53200, Kuala Lumpur","3.195363","101.712648","Kuala Lumpur","Setapak","3+1","2","1,200","2","Fully Furnished","2021-05-14T01:25:00Z","3865","NULL","Condominium"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Corner","Serviced Residence"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1500","NULL","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199789","101.717387","Kuala Lumpur","Setapak","3+2","2","1,325","2","Partly Furnished","2021-05-14T01:25:00Z","4237","Corner","Serviced Residence"
"KL Traders Square, Setapak","KL Traders Square","1400","NULL","Jalan Gombak Batu 4, Setapak, 53000, Kuala Lumpur","3.202899","101.703124","Kuala Lumpur","Setapak","4","2","940","1","Partly Furnished","2021-05-14T01:25:00Z","5179","NULL","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","NULL","Serviced Residence"
"Ascenda Residence @ Skyarena, Setapak","Ascenda Residence @ Skyarena","1400","1.54","Jalan Ayer Jerneh, Off Jalan Genting Kelang, Setapak, 53200, Kuala Lumpur","3.192868","101.714907","Kuala Lumpur","Setapak","3","2","908","2","Partly furnished","2021-05-14T00:10:41.224Z","3784","NULL","Condominium"
"Platinum Lake PV 13, Taman Danau Kota, Setapak","Platinum Lake PV 13","1600","1.22","Jalan Danau Saujana 1, Taman Danau Kota, 53300, Kuala Lumpur","3.201218","101.715361","Kuala Lumpur","Setapak","4","2","1,313","1","Partly furnished","2021-05-13T15:46:59.065Z","2543","Corner lot","Condominium"
"Platinum Lake PV 13, Taman Danau Kota, Setapak","Platinum Lake PV 13","1400","1.07","Jalan Danau Saujana 1, Taman Danau Kota, 53300, Kuala Lumpur","3.201218","101.715361","Kuala Lumpur","Setapak","4","2","1,313","1","Partly furnished","2021-05-13T15:45:57.047Z","2543","Intermediate","Condominium"
"Platinum Lake PV 13, Taman Danau Kota, Setapak","Platinum Lake PV 13","1399","1.07","Jalan Danau Saujana 1, Taman Danau Kota, 53300, Kuala Lumpur","3.201218","101.715361","Kuala Lumpur","Setapak","4","2","1,313","1","Partly furnished","2021-05-13T15:45:47.859Z","2543","Intermediate","Condominium"
"The Veo, Taman Melawati, Setapak","The Veo","1500","1.99","Jalan Melati Kuarza 2, Taman Melawati, 53100, Kuala Lumpur","3.226147","101.7311","Kuala Lumpur","Setapak","1","1","753","1","Partly furnished","2021-05-13T13:39:11.033Z","2794","NULL","Condominium"
"The Ridge, Setapak","The Ridge","1700","2.61","Jalan Melati Kuarza 2, Setapak, 53100, Kuala Lumpur","3.225213","101.729588","Kuala Lumpur","Setapak","Studio","1","651","1","Fully furnished","2021-05-13T13:39:01.654Z","6465","NULL","Serviced Residence"
"Danau Kota, Taman Setapak Indah, Setapak","Danau Kota","1600","1.88","Jalan 3a/6, Taman Setapak Indah, 53100, Kuala Lumpur","3.208849","101.719232","Kuala Lumpur","Setapak","3","2","850","1","Partly furnished","2021-05-13T13:38:52.206Z","5559","NULL","Serviced Residence"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1300","1.25","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199616","101.719807","Kuala Lumpur","Setapak","3","2","1,040","1","Unfurnished","2021-05-13T13:28:49.435Z","4237","NULL","Serviced Residence"
"The Reach @ Titiwangsa, Setapak","The Reach @ Titiwangsa","2800","1.81","Off Jalan Pahang, Setapak, 53200, Kuala Lumpur","3.186988","101.704029","Kuala Lumpur","Setapak","3+1","3","1,550","2","Fully furnished","2021-05-13T11:46:30.616Z","2983","NULL","Condominium"
"Platinum Lake PV 13, Taman Danau Kota, Setapak","Platinum Lake PV 13","2200","1.53","Jalan Danau Saujana 1, Taman Danau Kota, 53300, Kuala Lumpur","3.201218","101.715361","Kuala Lumpur","Setapak","4","2","1,438","2","NULL","2021-05-13T11:43:03.011Z","2543","NULL","Condominium"
"Zen Suites @ Zetapark, Taman Danau Kota, Setapak","Zen Suites @ Zetapark","1600","2.05","Jalan Genting Kelang, Taman Danau Kota, 53100, Kuala Lumpur","3.205081","101.720109","Kuala Lumpur","Setapak","Studio","1","780","1","NULL","2021-05-13T10:22:20.594Z","2249","Intermediate","Serviced Residence"
"Residensi Rampai (The Parc Tower), Taman Sri Rampai, Setapak","Residensi Rampai (The Parc Tower)","1600","1.88","Jalan 1/27, Taman Sri Rampai, 53300, Kuala Lumpur","3.199234","101.73034","Kuala Lumpur","Setapak","3","2","850","1","Fully furnished","2021-05-13T10:05:07.126Z","3645","NULL","Condominium"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1098","1.22","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199789","101.717387","Kuala Lumpur","Setapak","2","2","900","1","NULL","2021-05-13T10:01:55.571Z","4237","NULL","Serviced Residence"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1500","1.13","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199616","101.719807","Kuala Lumpur","Setapak","3+2","2","1,325","1","NULL","2021-05-13T10:00:55.480Z","4237","NULL","Serviced Residence"
"Platinum Lake PV 21, Setapak","Platinum Lake PV 21","1110","1.23","Jalan Usahawan, Off Jalan Genting Kelang, Setapak, 53300, Kuala Lumpur","3.199616","101.719807","Kuala Lumpur","Setapak","2","2","900","1","Unfurnished","2021-05-13T10:00:41.321Z","4237","NULL","Serviced Residence"
"Bennington Residences @ SkyArena, Setapak","Bennington Residences @ SkyArena","1900","1.73","Jalan Ayer Jerneh, Off Jalan Genting Kelang, Setapak, 53200, Kuala Lumpur","3.19388","101.714971","Kuala Lumpur","Setapak","3","2","1,100","2","NULL","2021-05-13T10:00:33.144Z","3983","NULL","Condominium"
"Danau Kota, Taman Setapak Indah, Setapak","Danau Kota","1500","1.55","Jalan 3a/6, Taman Setapak Indah, 53100, Kuala Lumpur","3.208849","101.719232","Kuala Lumpur","Setapak","3","2","970","1","NULL","2021-05-13T10:00:23.961Z","5559","NULL","Serviced Residence"
"Ascenda Residence @ Skyarena, Setapak","Ascenda Residence @ Skyarena","1400","1.47","Jalan Ayer Jerneh, Off Jalan Genting Kelang, Setapak, 53200, Kuala Lumpur","3.192868","101.714907","Kuala Lumpur","Setapak","3","2","950","2","NULL","2021-05-13T10:00:16.463Z","3784","NULL","Condominium"
"Bennington Residences @ SkyArena, Setapak","Bennington Residences @ SkyArena","1950","1.79","Jalan Ayer Jerneh, Off Jalan Genting Kelang, Setapak, 53200, Kuala Lumpur","3.19388","101.714971","Kuala Lumpur","Setapak","3","2","1,092","2","NULL","2021-05-13T10:00:08.129Z","3983","NULL","Condominium"
"Danau Kota, Taman Setapak Indah, Setapak","Danau Kota","1450","1.75","Jalan 3a/6, Taman Setapak Indah, 53100, Kuala Lumpur","3.208849","101.719232","Kuala Lumpur","Setapak","3","2","829","1","NULL","2021-05-13T09:59:48.868Z","5559","NULL","Serviced Residence"
"Prima Setapak Condominium, Setapak","Prima Setapak Condominium","1300","0.93","Jalan Prima Setapak, Setapak, 53000, Kuala Lumpur","3.198246","101.711326","Kuala Lumpur","Setapak","3","2","1,400","1","Partly furnished","2021-05-13T09:43:29.743Z","844","Penthouse","Condominium"
"Residensi Rampai (The Parc Tower), Taman Sri Rampai, Setapak","Residensi Rampai (The Parc Tower)","1800","1.64","Jalan 1/27, Taman Sri Rampai, 53300, Kuala Lumpur","3.199234","101.73034","Kuala Lumpur","Setapak","3","2","1,100","2","Fully furnished","2021-05-13T09:22:44.111Z","3645","NULL","Condominium"
