"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Dorsett Residences Sri Hartamas, Sri Hartamas","Dorsett Residences Sri Hartamas","2100","3.05","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.162936","101.655403","Kuala Lumpur","Sri Hartamas","1+1","1","689","1","Fully furnished","2021-05-08T07:48:49.437Z","5155","NULL","Serviced Residence"
"Dorsett Residences Sri Hartamas, Sri Hartamas","Dorsett Residences Sri Hartamas","1900","3.39","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.162936","101.655403","Kuala Lumpur","Sri Hartamas","1+1","1","560","1","Fully furnished","2021-05-08T07:48:44.347Z","5155","NULL","Serviced Residence"
"Dorsett Residences Sri Hartamas, Sri Hartamas","Dorsett Residences Sri Hartamas","2100","3.05","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.162936","101.655403","Kuala Lumpur","Sri Hartamas","1+1","1","689","1","Fully furnished","2021-05-08T07:48:36.459Z","5155","NULL","Serviced Residence"
"Dorsett Residences Sri Hartamas, Sri Hartamas","Dorsett Residences Sri Hartamas","1900","3.39","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.162936","101.655403","Kuala Lumpur","Sri Hartamas","1+1","1","560","1","Fully furnished","2021-05-08T07:48:20.103Z","5155","Intermediate","Serviced Residence"
"Windsor Tower, Sri Hartamas","Windsor Tower","1700","3.4","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.164608","101.658288","Kuala Lumpur","Sri Hartamas","1","1","500","1","Fully furnished","2021-05-08T07:44:14.313Z","1645","Intermediate","Serviced Residence"
"Plaza Damas, Sri Hartamas","Plaza Damas","1600","3.2","Jalan Sri Hartamas 1, Sri Hartamas, 50400, Kuala Lumpur","3.163914","101.656982","Kuala Lumpur","Sri Hartamas","Studio","1","500","NULL","Fully furnished","2021-05-08T07:24:29.602Z","5754","NULL","Serviced Residence"
"Dorchester, Taman Sri Hartamas, Sri Hartamas","Dorchester","1200","2.93","Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480, Kuala Lumpur","3.164715","101.65682","Kuala Lumpur","Sri Hartamas","Studio","1","410","NULL","Fully furnished","2021-05-08T06:39:01.950Z","262","Intermediate","Serviced Residence"
"Cliveden @ Plaza Damas 3, Sri Hartamas","Cliveden @ Plaza Damas 3","1850","2.06","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.16282","101.656408","Kuala Lumpur","Sri Hartamas","1+1","1","900","NULL","Fully furnished","2021-05-08T06:03:00.524Z","2502","NULL","Serviced Residence"
"Mayfair, Taman Sri Hartamas, Sri Hartamas","Mayfair","1300","3.17","Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480, Kuala Lumpur","3.164661","101.656923","Kuala Lumpur","Sri Hartamas","Studio","1","410","NULL","Fully furnished","2021-05-08T05:55:38.923Z","509","NULL","Serviced Residence"
"Chelsea @ Plaza Damas 3, Sri Hartamas","Chelsea @ Plaza Damas 3","1500","2.5","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.16282","101.656408","Kuala Lumpur","Sri Hartamas","Studio","1","600","NULL","Fully furnished","2021-05-08T05:52:34.154Z","2529","NULL","Serviced Residence"
"Carlton @ Plaza Damas 3, Sri Hartamas","Carlton @ Plaza Damas 3","1600","NULL","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.16282","101.656408","Kuala Lumpur","Sri Hartamas","Studio","1","595","NULL","Fully Furnished","2021-05-08T01:38:00Z","2491","Intermediate","Serviced Residence"
"Sunway Palazzio, Sri Hartamas","Sunway Palazzio","9500","2.85","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.155021","101.647808","Kuala Lumpur","Sri Hartamas","3+2","4","3,336","2","Partly furnished","2021-05-08T01:30:30.873Z","1418","Corner lot","Condominium"
"The Signature, Desa Sri Hartamas, Sri Hartamas","The Signature","1800","3.6","Jalan Sri Hartamas 22, Desa Sri Hartamas, 50480, Kuala Lumpur","3.16388","101.652095","Kuala Lumpur","Sri Hartamas","1","1","500","1","Fully furnished","2021-05-08T00:45:12.337Z","2792","NULL","Serviced Residence"
"The Signature, Desa Sri Hartamas, Sri Hartamas","The Signature","3300","4.6","Jalan Sri Hartamas 22, Desa Sri Hartamas, 50480, Kuala Lumpur","3.16388","101.652095","Kuala Lumpur","Sri Hartamas","2","2","717","1","Fully furnished","2021-05-08T00:37:12.122Z","2792","Intermediate","Serviced Residence"
"Sunway Vivaldi, Sri Hartamas","Sunway Vivaldi","11000","2.72","Jalan 19/70A, Sri Hartamas, 50480, Kuala Lumpur","3.16424","101.64727","Kuala Lumpur","Sri Hartamas","4+1","6","4,047","3","Fully furnished","2021-05-07T13:55:03.272Z","2045","Duplex","Condominium"
"Windsor Tower, Sri Hartamas","Windsor Tower","1500","3","Jalan Sri Hartamas 1, Sri Hartamas, 50480, Kuala Lumpur","3.164608","101.658288","Kuala Lumpur","Sri Hartamas","Studio","1","500","NULL","Fully furnished","2021-05-07T13:52:05.824Z","1645","Intermediate","Serviced Residence"
