"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Endah Promenade, Taman Sri Endah, Sri Petaling","Endah Promenade","2200","1.72","Jalan 1/149E, Taman Sri Endah, 57000, Kuala Lumpur","3.063822","101.69697","Kuala Lumpur","Sri Petaling","4","3","1,279","1","Fully furnished","2021-05-14T09:50:22.483Z","2013","NULL","Serviced Residence"
"Endah Promenade, Taman Sri Endah, Sri Petaling","Endah Promenade","1500","1.53","Jalan 1/149E, Taman Sri Endah, 57000, Kuala Lumpur","3.063822","101.69697","Kuala Lumpur","Sri Petaling","3","2","980","1","Partly furnished","2021-05-14T09:47:48.984Z","2013","NULL","Serviced Residence"
"Pinnacle, Sri Petaling","Pinnacle","1800","2.22","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","812","1","Partly furnished","2021-05-14T09:34:43.868Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2000","2.88","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","Fully furnished","2021-05-14T09:08:26.315Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1800","2.21","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","2","815","1","Fully furnished","2021-05-14T09:08:15.853Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2000","2.26","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","884","2","Partly furnished","2021-05-14T09:00:53.208Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2000","2.88","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","Fully furnished","2021-05-14T08:45:16.854Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2380","2.69","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","2","884","2","Fully furnished","2021-05-14T08:27:24.549Z","4427","Corner lot","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2200","3.17","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","Fully furnished","2021-05-14T08:21:04.780Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1700","1.99","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","855","1","Partly furnished","2021-05-14T08:08:52.864Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1900","2.74","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","NULL","2021-05-14T08:08:30.598Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1800","2.04","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","884","2","Partly furnished","2021-05-14T07:55:40.525Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1600","2.31","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","NULL","2021-05-14T07:49:54.182Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1800","2.04","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","2","884","1","NULL","2021-05-14T07:34:36.560Z","4427","NULL","Condominium"
"Endah Ria, Taman Sri Endah, Sri Petaling","Endah Ria","1700","1.2","Jalan 1/149E, Taman Sri Endah, 57000, Kuala Lumpur","3.063596","101.699924","Kuala Lumpur","Sri Petaling","3","2","1,417","1","Fully furnished","2021-05-14T07:25:32.405Z","276","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2000","2.88","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","2","2","694","1","Fully furnished","2021-05-14T07:08:49.158Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","2300","2.88","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","800","1","Fully furnished","2021-05-14T06:42:47.958Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1600","2","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","800","1","Partly furnished","2021-05-14T06:41:29.935Z","4427","Intermediate","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1800","1.76","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","4","3","1,022","2","Partly furnished","2021-05-14T06:38:53.890Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1800","2.11","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","4","855","1","Partly furnished","2021-05-14T06:31:44.513Z","4427","NULL","Condominium"
"Pinnacle, Sri Petaling","Pinnacle","1500","1.64","Jalan Radin Anum,, Sri Petaling, 57000, Kuala Lumpur","3.06805","101.694212","Kuala Lumpur","Sri Petaling","3","3","914","2","NULL","2021-05-14T06:12:50.106Z","4427","NULL","Condominium"
