"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1800","2.12","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","3","2","850","1","Fully furnished","2021-05-14T08:50:53.613Z","6074","Intermediate","Serviced Residence"
"Midfields, Taman Sungai Besi, Sungai Besi","Midfields","1700","1.58","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.097561","101.700437","Kuala Lumpur","Sungai Besi","3","2","1,074","1","Fully furnished","2021-05-14T06:31:23.086Z","1974","Corner lot","Condominium"
"Midfields 2, Taman Sungai Besi, Sungai Besi","Midfields 2","1500","1.44","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.096447","101.702176","Kuala Lumpur","Sungai Besi","3","2","1,044","2","Partly furnished","2021-05-14T06:30:34.073Z","4948","Corner lot","Condominium"
"Midfields 2, Taman Sungai Besi, Sungai Besi","Midfields 2","1500","1.44","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.096447","101.702176","Kuala Lumpur","Sungai Besi","3","2","1,044","2","Partly furnished","2021-05-14T06:29:50.810Z","4948","Corner lot","Condominium"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1300","2","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","650","1","Partly furnished","2021-05-14T06:29:25.800Z","6074","Intermediate","Serviced Residence"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1500","1.76","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","850","1","Partly furnished","2021-05-14T06:29:18.983Z","6074","Corner lot","Serviced Residence"
"Midfields 2, Taman Sungai Besi, Sungai Besi","Midfields 2","1400","1.29","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.096447","101.702176","Kuala Lumpur","Sungai Besi","3","2","1,084","2","NULL","2021-05-14T06:11:32.762Z","4948","NULL","Condominium"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","2000","2.35","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","3","2","850","2","Fully furnished","2021-05-14T05:36:57.000Z","6074","Corner lot","Serviced Residence"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1700","2.62","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","650","1","Fully furnished","2021-05-14T04:46:25.709Z","6074","Intermediate","Serviced Residence"
"Trinity Aquata, Kampung Malaysia Tambahan, Sungai Besi","Trinity Aquata","1700","1.4","Jalan 1/141, Kampung Malaysia Tambahan, 57100, Kuala Lumpur","3.079029","101.70405","Kuala Lumpur","Sungai Besi","3","2","1,216","2","Partly furnished","2021-05-14T03:06:01.524Z","6099","Corner lot","Condominium"
"Trinity Aquata, Kampung Malaysia Tambahan, Sungai Besi","Trinity Aquata","2000","1.64","Jalan 1/141, Kampung Malaysia Tambahan, 57100, Kuala Lumpur","3.079029","101.70405","Kuala Lumpur","Sungai Besi","3","2","1,216","2","Partly furnished","2021-05-14T03:05:22.709Z","6099","Corner lot","Condominium"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1500","1.76","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","3","2","850","1","Partly furnished","2021-05-14T02:13:19.574Z","6074","NULL","Serviced Residence"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1600","2.46","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","650","1","Partly furnished","2021-05-13T15:52:24.319Z","6074","NULL","Serviced Residence"
"Midfields, Taman Sungai Besi, Sungai Besi","Midfields","1400","1.3","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.097561","101.700437","Kuala Lumpur","Sungai Besi","3","2","1,074","2","Partly furnished","2021-05-13T13:04:50.107Z","1974","NULL","Condominium"
"Midfields, Taman Sungai Besi, Sungai Besi","Midfields","1600","1.35","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.097561","101.700437","Kuala Lumpur","Sungai Besi","3","2","1,185","1","Partly furnished","2021-05-13T13:04:33.326Z","1974","NULL","Condominium"
"Midfields, Taman Sungai Besi, Sungai Besi","Midfields","1700","1.36","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.097561","101.700437","Kuala Lumpur","Sungai Besi","3","2","1,253","2","Fully furnished","2021-05-13T13:04:18.496Z","1974","Corner lot","Condominium"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1700","2.62","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","650","1","Fully furnished","2021-05-13T09:19:53.322Z","6074","NULL","Serviced Residence"
"Midfields, Taman Sungai Besi, Sungai Besi","Midfields","1200","1.2","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.097561","101.700437","Kuala Lumpur","Sungai Besi","2+1","2","1,000","2","NULL","2021-05-13T08:55:48.865Z","1974","NULL","Condominium"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1550","2.38","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","2","2","650","1","Partly furnished","2021-05-13T08:41:01.042Z","6074","NULL","Serviced Residence"
"Kenwingston Avenue, Sungai Besi","Kenwingston Avenue","1700","2","Jalan Sungai Besi, Sungai Besi, 57100, Kuala Lumpur","3.082621","101.69985","Kuala Lumpur","Sungai Besi","3","2","850","1","Fully furnished","2021-05-13T07:14:19.590Z","6074","NULL","Serviced Residence"
"Midfields 2, Taman Sungai Besi, Sungai Besi","Midfields 2","2000","1.92","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.096447","101.702176","Kuala Lumpur","Sungai Besi","3","2","1,044","1","Fully furnished","2021-05-13T04:18:27.562Z","4948","Corner lot","Condominium"
"Midfields 2, Taman Sungai Besi, Sungai Besi","Midfields 2","1450","1.39","Lebuhraya Sungai Besi, Taman Sungai Besi, 57100, Kuala Lumpur","3.096447","101.702176","Kuala Lumpur","Sungai Besi","3","2","1,044","2","Partly furnished","2021-05-13T04:18:27.379Z","4948","NULL","Condominium"
