"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Vue Residences, Titiwangsa","Vue Residences","1900","1.89","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","3","2","1,003","2","Unfurnished","2021-05-14T08:37:14.901Z","2251","NULL","Serviced Residence"
"Vue Residences, Titiwangsa","Vue Residences","1600","3.2","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","Studio","1","500","1","Fully furnished","2021-05-14T07:14:08.641Z","2251","NULL","Serviced Residence"
"Vue Residences, Titiwangsa","Vue Residences","1700","2.34","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","2","1","726","1","Fully furnished","2021-05-14T05:19:10.411Z","2251","Intermediate","Serviced Residence"
"Titiwangsa Sentral, Titiwangsa","Titiwangsa Sentral","2000","1.72","Jalan Chemor, Titiwangsa, 53200, Kuala Lumpur","3.171115","101.69684","Kuala Lumpur","Titiwangsa","3","2","1,160","1","Partly furnished","2021-05-14T04:26:58.227Z","2135","Corner lot","Serviced Residence"
"Titiwangsa Sentral, Titiwangsa","Titiwangsa Sentral","1900","1.73","Jalan Chemor, Titiwangsa, 53200, Kuala Lumpur","3.171115","101.69684","Kuala Lumpur","Titiwangsa","3","2","1,100","1","NULL","2021-05-13T02:45:05.305Z","2135","NULL","Serviced Residence"
"Titiwangsa Sentral, Titiwangsa","Titiwangsa Sentral","1600","1.45","Jalan Chemor, Titiwangsa, 53200, Kuala Lumpur","3.171115","101.69684","Kuala Lumpur","Titiwangsa","3","2","1,100","NULL","NULL","2021-05-13T02:44:58.547Z","2135","NULL","Serviced Residence"
"Titiwangsa Sentral, Titiwangsa","Titiwangsa Sentral","1500","1.36","Jalan Chemor, Titiwangsa, 53200, Kuala Lumpur","3.171115","101.69684","Kuala Lumpur","Titiwangsa","3","2","1,100","1","NULL","2021-05-13T02:44:22.639Z","2135","NULL","Serviced Residence"
"Titiwangsa Sentral, Titiwangsa","Titiwangsa Sentral","1800","1.64","Jalan Chemor, Titiwangsa, 53200, Kuala Lumpur","3.171115","101.69684","Kuala Lumpur","Titiwangsa","3","2","1,100","1","NULL","2021-05-13T02:44:18.310Z","2135","NULL","Serviced Residence"
"Vue Residences, Titiwangsa","Vue Residences","1700","2.27","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","2","1","750","1","NULL","2021-05-13T02:44:12.960Z","2251","NULL","Serviced Residence"
"Vue Residences, Titiwangsa","Vue Residences","1800","0.78","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","2","1","2,300","NULL","Fully furnished","2021-05-12T08:57:36.740Z","2251","NULL","Serviced Residence"
"Vue Residences, Titiwangsa","Vue Residences","1700","2.31","Jalan Pahang, Titiwangsa, 53200, Kuala Lumpur","3.171663","101.698369","Kuala Lumpur","Titiwangsa","2","1","737","1","Fully furnished","2021-05-12T08:14:50.744Z","2251","Intermediate","Serviced Residence"
