"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Glomac Damansara, Taman Tun Dr Ismail","Glomac Damansara","3000","2.28","Jalan Damansara, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.13665","101.629822","Kuala Lumpur","Taman Tun Dr Ismail","3","2","1,313","2","Partly furnished","2021-05-08T00:25:00.351Z","2177","Corner lot","Serviced Residence"
"Glomac Damansara, Taman Tun Dr Ismail","Glomac Damansara","3200","2.4","Jalan Damansara, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.133404","101.630096","Kuala Lumpur","Taman Tun Dr Ismail","3","2","1,333","1","Partly furnished","2021-05-08T00:09:32.771Z","2177","Corner lot","Serviced Residence"
"The Plaza Condominium @ TTDI, Taman Tun Dr Ismail","The Plaza Condominium @ TTDI","4200","2.33","Jalan Wan Kadir 3, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.137082","101.63131","Kuala Lumpur","Taman Tun Dr Ismail","3+1","4","1,800","1","Fully furnished","2021-05-07T10:49:57.786Z","1572","NULL","Condominium"
"TTDI Ascencia, Taman Tun Dr Ismail","TTDI Ascencia","3800","3.54","Jalan Damansara, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.136129","101.629988","Kuala Lumpur","Taman Tun Dr Ismail","3","2","1,072","1","Fully furnished","2021-05-07T10:37:55.646Z","2797","Corner lot","Serviced Residence"
"Kiara Park, Taman Tun Dr Ismail","Kiara Park","3500","2.59","Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.155679","101.626221","Kuala Lumpur","Taman Tun Dr Ismail","3","2","1,350","1","Fully furnished","2021-05-07T06:52:46.847Z","420","Corner lot","Condominium"
"Kiara Park, Taman Tun Dr Ismail","Kiara Park","2400","1.7","Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.155679","101.626221","Kuala Lumpur","Taman Tun Dr Ismail","3","2","1,410","1","NULL","2021-05-07T06:51:54.821Z","420","Intermediate","Condominium"
"Sinaran TTDI, Taman Tun Dr Ismail","Sinaran TTDI","3500","2.22","Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.14041","101.627376","Kuala Lumpur","Taman Tun Dr Ismail","2+1","3","1,580","2","Fully furnished","2021-05-07T06:08:11.661Z","1618","End lot","Serviced Residence"
"Sinaran TTDI, Taman Tun Dr Ismail","Sinaran TTDI","3300","2.86","Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.14041","101.627376","Kuala Lumpur","Taman Tun Dr Ismail","2","2","1,154","2","Fully furnished","2021-05-07T06:08:02.192Z","1618","End lot","Serviced Residence"
"The Greens, Taman Tun Dr Ismail","The Greens","15500","5.17","Jalan Wan Kadir 3, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.138719","101.630714","Kuala Lumpur","Taman Tun Dr Ismail","3+2","5","3,000","2","NULL","2021-05-07T06:06:17.243Z","2786","Corner lot","Serviced Residence"
"The Greens, Taman Tun Dr Ismail","The Greens","5000","3.46","Jalan Wan Kadir 3, Taman Tun Dr Ismail, 60000, Kuala Lumpur","3.138719","101.630714","Kuala Lumpur","Taman Tun Dr Ismail","2+1","3","1,445","2","Partly furnished","2021-05-07T06:06:13.890Z","2786","Corner lot","Serviced Residence"
