"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Wangsa Metroview, Wangsa Maju","Wangsa Metroview","1300","1.13","No. 1A, Jalan Metro Wangsa, Seksyen 2, Wangsa Maju, 53300, Kuala Lumpur","3.204196","101.735815","Kuala Lumpur","Wangsa Maju","3","2","1,150","1","Partly furnished","2021-05-14T04:01:07.880Z","2055","NULL","Condominium"
"WANGSA 9 RESIDENCY, Wangsa Maju","WANGSA 9 RESIDENCY","2300","2.23","Jalan Wangsa Perdana 1, Wangsa Maju, 53300, Kuala Lumpur","3.19859","101.739353","Kuala Lumpur","Wangsa Maju","2","2","1,033","2","Partly furnished","2021-05-14T03:35:46.730Z","4288","NULL","Condominium"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","2500","3.25","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.187962","101.734191","Kuala Lumpur","Wangsa Maju","3","2","770","1","Fully furnished","2021-05-14T03:12:42.766Z","3402","NULL","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","1.53","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.187962","101.734191","Kuala Lumpur","Wangsa Maju","4","2","850","2","NULL","2021-05-14T01:56:32.064Z","3402","NULL","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Intermediate","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1400","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3+1","2","850","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Intermediate","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","Corner","Serviced Residence"
"Seasons Garden Residences, Taman Setapak Jaya, Wangsa Maju","Seasons Garden Residences","1300","NULL","Jalan 26/26, Taman Setapak Jaya, 53300, Kuala Lumpur","3.189838","101.735198","Kuala Lumpur","Wangsa Maju","3","2","770","1","Partly Furnished","2021-05-14T01:25:00Z","3402","NULL","Serviced Residence"
"Wangsa Metroview, Wangsa Maju","Wangsa Metroview","1200","1.04","No. 1A, Jalan Metro Wangsa, Seksyen 2, Wangsa Maju, 53300, Kuala Lumpur","3.204196","101.735815","Kuala Lumpur","Wangsa Maju","3","2","1,150","NULL","Partly furnished","2021-05-13T23:31:05.196Z","2055","NULL","Condominium"
"Irama Wangsa, Wangsa Maju","Irama Wangsa","2500","2.07","Jalan 26/24 Off Seksyen 10, Wangsa Maju, 53300, Kuala Lumpur","3.189315","101.737458","Kuala Lumpur","Wangsa Maju","3","2","1,206","2","NULL","2021-05-13T16:01:23.759Z","3321","NULL","Condominium"
"Sinaran, Wangsa Maju","Sinaran","1499","2.07","Jln 2a/27a, Wangsa Maju, 53300, Kuala Lumpur","3.201205","101.732684","Kuala Lumpur","Wangsa Maju","2","2","725","1","Partly furnished","2021-05-13T15:46:40.453Z","5532","Intermediate","Serviced Residence"
"Sinaran, Wangsa Maju","Sinaran","1499","2.07","Jln 2a/27a, Wangsa Maju, 53300, Kuala Lumpur","3.201205","101.732684","Kuala Lumpur","Wangsa Maju","2","2","725","1","Partly furnished","2021-05-13T15:46:30.314Z","5532","Intermediate","Serviced Residence"
"Sinaran, Wangsa Maju","Sinaran","1499","2","Jln 2a/27a, Wangsa Maju, 53300, Kuala Lumpur","3.201205","101.732684","Kuala Lumpur","Wangsa Maju","2","2","750","1","Partly furnished","2021-05-13T15:42:41.569Z","5532","Intermediate","Serviced Residence"
"Irama Wangsa, Wangsa Maju","Irama Wangsa","2000","1.66","Jalan 26/24 Off Seksyen 10, Wangsa Maju, 53300, Kuala Lumpur","3.189315","101.737458","Kuala Lumpur","Wangsa Maju","3","2","1,206","2","NULL","2021-05-13T15:31:40.367Z","3321","NULL","Condominium"
"Sinaran, Wangsa Maju","Sinaran","2000","2.67","Jln 2a/27a, Wangsa Maju, 53300, Kuala Lumpur","3.201205","101.732684","Kuala Lumpur","Wangsa Maju","2","2","750","1","NULL","2021-05-13T14:53:50.597Z","5532","NULL","Serviced Residence"
"Sinaran, Wangsa Maju","Sinaran","1500","2.07","Jln 2a/27a, Wangsa Maju, 53300, Kuala Lumpur","3.201205","101.732684","Kuala Lumpur","Wangsa Maju","2","2","725","1","Partly furnished","2021-05-13T13:38:40.605Z","5532","NULL","Serviced Residence"
"WANGSA 9 RESIDENCY, Wangsa Maju","WANGSA 9 RESIDENCY","4300","2.61","Jalan Wangsa Perdana 1, Wangsa Maju, 53300, Kuala Lumpur","3.19859","101.739353","Kuala Lumpur","Wangsa Maju","3+1","3","1,647","2","Fully furnished","2021-05-13T10:48:14.278Z","4288","Corner lot","Condominium"
